country	ches	year	pm
BG	-	-	ЗС „Александър Стамболийски“
BG	-	-	КПБ
BG	-	-	НЗ
BG	-	-	ПБГ
BG	-	-	ПФ
BG	-	-	РБ
BG	ABV	2014	АБВ
BG	ATAKA	2014	Атака
BG	Ataka	2019	Атака
BG	BSP	2014	БСП
BG	BSP	2019	БСП
BG	DB	2019	DB
BG	DPS	2002	ДПС
BG	DPS	2006	ДПС
BG	DPS	2010	ДПС
BG	DPS	2014	ДПС
BG	DPS	2019	ДПС
BG	GERB	2010	ГЕРБ
BG	GERB	2014	ГЕРБ
BG	GERB	2019	ГЕРБ
BG	KSII	2002	ВМРО–БНД
BG	NFSB	2014	НФСБ
BG	NFSB	2019	НФСБ
BG	NOA	2006	Атака
BG	NOA	2010	Атака
BG	VMRO-BND	2014	ВМРО–БНД
BG	Volya	2019	ВОЛЯ
CZ	-	-	K
CZ	-	-	KDS
CZ	-	-	KSČS
CZ	-	-	LB
CZ	-	-	Nezařaz
CZ	-	-	OF
CZ	-	-	OH
CZ	-	-	PirSTAN
CZ	-	-	SDO
CZ	-	-	SPOLU
CZ	ANO2011	2014	ANO + ANO2011
CZ	ANO2011	2019	ANO + ANO2011
CZ	CSSD	2002	CSSD + ČSSD
CZ	CSSD	2006	CSSD + ČSSD
CZ	CSSD	2010	CSSD + ČSSD
CZ	CSSD	2014	CSSD + ČSSD
CZ	CSSD	2019	CSSD + ČSSD
CZ	KDU-CSL	2002	KDU-ČSL
CZ	KDU-CSL	2006	KDU-ČSL
CZ	KDU-CSL	2010	KDU-ČSL
CZ	KDU-CSL	2014	KDU-ČSL
CZ	KDU-CSL	2019	KDU-ČSL
CZ	KSCM	2002	KSCM + KSČM
CZ	KSCM	2006	KSCM + KSČM
CZ	KSCM	2010	KSCM + KSČM
CZ	KSCM	2014	KSCM + KSČM
CZ	KSCM	2019	KSCM + KSČM
CZ	ODS	2002	ODS
CZ	ODS	2006	ODS
CZ	ODS	2010	ODS
CZ	ODS	2014	ODS
CZ	ODS	2019	ODS
CZ	Pirates	2019	Piráti
CZ	SPD	2019	SPD
CZ	STAN	2019	STAN
CZ	TOP09	2010	TOP09 + TOP09-S
CZ	TOP09	2014	TOP09 + TOP09-S
CZ	TOP09	2019	TOP09 + TOP09-S
CZ	USVIT	2014	Usvit + Úsvit
CZ	VV	2010	VV
DK	-	-	FG
DK	-	-	IA
DK	-	-	JF
DK	-	-	NQ
DK	-	-	SIU
DK	-	-	SP
DK	-	-	T
DK	-	-	TF
DK	-	-	UFG
DK	A	2019	ALT
DK	DF	1999	DF
DK	DF	2002	DF
DK	DF	2006	DF
DK	DF	2010	DF
DK	DF	2014	DF
DK	DF	2019	DF
DK	EL	1999	EL
DK	EL	2006	EL
DK	EL	2010	EL
DK	EL	2014	EL
DK	EL	2019	EL
DK	KF	1999	KF
DK	KF	2002	KF
DK	KF	2006	KF
DK	KF	2010	KF
DK	KF	2014	KF
DK	KF	2019	KF
DK	KRF	1999	KD
DK	LA	2010	LA
DK	LA	2014	LA
DK	LA	2019	LA
DK	NB	2019	NB
DK	RV	1999	RV
DK	RV	2002	RV
DK	RV	2006	RV
DK	RV	2010	RV
DK	RV	2014	RV
DK	RV	2019	RV
DK	SD	1999	S
DK	SD	2002	S
DK	SD	2006	S
DK	SD	2010	S
DK	SD	2014	S
DK	SD	2019	S
DK	SF	1999	SF
DK	SF	2002	SF
DK	SF	2006	SF
DK	SF	2010	SF
DK	SF	2014	SF
DK	SF	2019	SF
DK	V	1999	V
DK	V	2002	V
DK	V	2006	V
DK	V	2010	V
DK	V	2014	V
DK	v	2019	V
EE	-	-	E200
EE	EK	2006	KE
EE	EK	2010	KE
EE	EK	2014	KE
EE	EK	2019	KE
EE	EKRE	2019	EKRE
EE	ER	2006	RE
EE	ER	2010	RE
EE	ER	2014	RE
EE	ER	2019	RE
EE	EVE	2014	VABA
EE	IRL	2006	ISA
EE	SDE	2006	SDE
EE	SDE	2010	SDE
EE	SDE	2014	SDE
EE	SDE	2019	SDE
ES	-	-	C-P-EUPV
ES	-	-	CC-NC-PNC
ES	-	-	CCa-PNC
ES	-	-	CCa-PNC-NC
ES	-	-	CDC
ES	-	-	CUP-PR
ES	-	-	Compromís-Q
ES	-	-	DL
ES	-	-	EC-UP
ES	-	-	ECP
ES	-	-	ECP-GeC
ES	-	-	EM-P-A-EU
ES	-	-	ERC-CATSÍ
ES	-	-	EUPV
ES	-	-	EUiA
ES	-	-	GB
ES	-	-	IZQ-PLU
ES	-	-	JxCat-Junts
ES	-	-	Més Compromís
ES	-	-	NC-CCa-PNC
ES	-	-	PRC
ES	-	-	PSE-EE-PSOE
ES	-	-	PSOE-NCa
ES	-	-	PSOEdeAndalucía
ES	-	-	PSdG-PSOE
ES	-	-	PsdeG-PSOE
ES	-	-	TE
ES	-	-	UP
ES	-	-	UPM
ES	-	-	UPN
ES	-	-	UPN-PP
ES	Amaiur	2014	Amaiur
ES	BNG	1999	BNG
ES	BNG	2002	BNG
ES	BNG	2006	BNG
ES	BNG	2010	BNG
ES	BNG	2014	BNG
ES	BNG	2019	BNG
ES	C's	2014	Cs
ES	CiU	1999	CiU
ES	CiU	2002	CiU
ES	CiU	2006	CiU
ES	CiU	2010	CiU
ES	CiU	2014	CiU
ES	Cs	2019	Cs
ES	EAJ/PNV	2014	EAJ-PNV
ES	EH	1999	EH Bildu
ES	EHB	2019	EH Bildu
ES	ERC	1999	ERC-RI.cat + ERC-S
ES	ERC	2006	ERC-RI.cat + ERC-S
ES	ERC	2010	ERC-RI.cat + ERC-S
ES	ERC	2014	ERC-RI.cat + ERC-S
ES	ERC	2019	ERC-RI.cat + ERC-S
ES	IC	1999	ICV
ES	ICV	2014	ICV
ES	PNV	1999	EAJ-PNV
ES	PNV	2002	EAJ-PNV
ES	PNV	2006	EAJ-PNV
ES	PNV	2010	EAJ-PNV
ES	PNV	2019	EAJ-PNV
ES	PP	1999	PP + PP-EU + PP-Foro + PP-PAR
ES	PP	2002	PP + PP-EU + PP-Foro + PP-PAR
ES	PP	2006	PP + PP-EU + PP-Foro + PP-PAR
ES	PP	2010	PP + PP-EU + PP-Foro + PP-PAR
ES	PP	2014	PP + PP-EU + PP-Foro + PP-PAR
ES	PPP	2019	PP
ES	PSC	1999	PSC(PSC-PSOE) + PSC-PSOE
ES	PSOE	1999	PSOE
ES	PSOE	2002	PSOE
ES	PSOE	2006	PSOE
ES	PSOE	2010	PSOE
ES	PSOE	2014	PSOE
ES	PSOE	2019	PSOE
ES	Pais	2019	Más País-Equo
ES	UPyD	2010	UPyD
ES	UPyD	2014	UPyD
ES	Vox	2019	Vox
FI	KD	1999	KD
FI	KD	2002	KD
FI	KD	2006	KD
FI	KD	2010	KD
FI	KD	2014	KD
FI	KD	2019	KD
FI	KESK	1999	KESK
FI	KESK	2002	KESK
FI	KESK	2006	KESK
FI	KESK	2010	KESK
FI	KESK	2014	KESK
FI	KESK	2019	KESK
FI	KIPU	1999	-
FI	KIPU	2002	-
FI	KIPU	2006	-
FI	KIPU	2010	-
FI	KIPU	2014	-
FI	KIPU	2019	-
FI	KOK	1999	KOK
FI	KOK	2002	KOK
FI	KOK	2006	KOK
FI	KOK	2010	KOK
FI	KOK	2014	KOK
FI	KOK	2019	KOK
FI	PS	1999	PS
FI	PS	2002	PS
FI	PS      2006	PS
FI	PS      2010	PS
FI	PS      2014	PS
FI	PS      2019	PS
FI	REM	1999	-
FI	REM	2002	-
FI	REM	2006	-
FI	REM	2010	-
FI	REM	2014	-
FI	REM	2019	-
FI	RKP/SFP	1999	RKP
FI	RKP/SFP	2002	RKP
FI	RKP/SFP	2006	RKP
FI	RKP/SFP	2010	RKP
FI	RKP/SFP	2014	RKP
FI	RKP/SFP	2019	RKP
FI	SDP	1999	SDP
FI	SDP	2002	SDP
FI	SDP	2006	SDP
FI	SDP	2010	SDP
FI	SDP	2014	SDP
FI	SDP	2019	SDP
FI	SEP/EKA	1999	-
FI	SEP/EKA	2002	-
FI	SEP/EKA	2006	-
FI	SEP/EKA	2010	-
FI	SEP/EKA	2014	-
FI	SEP/EKA	2019	-
FI	SFP	1999    -
FI	SFP	2002	-
FI	SFP	2006	-
FI	SFP	2010	-
FI	SFP	2014	-
FI	SFP	2019	-
FI	SKL	1999	-
FI	SKL	2002	-
FI	SKL	2006	-
FI	SKL	2010	-
FI	SKL	2014	-
FI	SKL	2019	-
FI	VAS	1999	VAS
FI	VAS	2002	VAS
FI	VAS	2006	VAS
FI	VAS	2010	VAS
FI	VAS	2014	VAS
FI	VAS	2019	VAS
FI	VIHR	1999	VIHR
FI	VIHR	2002	VIHR
FI	VIHR	2006	VIHR
FI	VIHR	2010	VIHR
FI	VIHR	2014	VIHR
FI	VIHR	2019	VIHR
FI	-	-	KP
FI	-	-	LIIK
FI	-	-	SIN
FI	-	-	SMP
FI	-	-	TL
FI	-	-	VKK
FI	-	-	AT
FI	-	-	EJUV
FI	-	-	PV
FR	-	-	AGIR-E
FR	-	-	DEM
FR	-	-	ECOLO
FR	-	-	EDS
FR	-	-	GDR
FR	-	-	GDR-NUPES
FR	-	-	HOR
FR	-	-	LC
FR	-	-	LFI-NUPES
FR	-	-	LIOT
FR	-	-	LT
FR	-	-	NG
FR	-	-	NI
FR	-	-	RE
FR	-	-	SOC
FR	-	-	UDI-A-I
FR	-	-	UDI-AGIR
FR	-	-	UDI-I
FR	-	-	UDI_I
FR	FI	2019	FI
FR	LR	2019	LR
FR	LREM	2019	LAREM
FR	MODEM	2010	MODEM
FR	MODEM	2014	MODEM
FR	MoDem	2019	MODEM
FR	RN	2019	RN
GB	-	-	0UBS
GB	-	-	64RT
GB	-	-	A
GB	-	-	BI
GB	-	-	CB
GB	-	-	DUP
GB	-	-	FZPG
GB	-	-	I
GB	-	-	IGC
GB	-	-	IL
GB	-	-	L1QU
GB	-	-	L8TA
GB	-	-	LB
GB	-	-	LI
GB	-	-	LJ95
GB	-	-	LS
GB	-	-	NA
GB	-	-	NPBE
GB	-	-	PAUB
GB	-	-	QHMP
GB	-	-	QMZZ
GB	-	-	S
GB	-	-	SDLP
GB	-	-	SO0T
GB	-	-	UUP
GB	-	-	UUSL
GB	-	-	ZKPW
GB	CONS	1999	CON
GB	CONS	2002	CON
GB	CONS	2006	CON
GB	CONS	2010	CON
GB	CONS	2014	CON
GB	CONS	2019	CON
GB	GREEN	1999	GP
GB	GREEN	2006	GP
GB	GREEN	2010	GP
GB	GREEN	2014	GP
GB	GREEN	2019	GP
GB	LAB	1999	LAB
GB	LAB	2002	LAB
GB	LAB	2006	LAB
GB	LAB	2010	LAB
GB	LAB	2014	LAB
GB	LAB	2019	LAB
GB	LIBDEM	2019	LD
GB	LibDem	1999	LD
GB	LibDem	2002	LD
GB	LibDem	2006	LD
GB	LibDem	2010	LD
GB	LibDem	2014	LD
GB	PLAID	1999	PC
GB	PLAID	2002	PC
GB	PLAID	2006	PC
GB	PLAID	2010	PC
GB	PLAID	2014	PC
GB	PLAID	2019	PC
GB	SNP	1999	SNP
GB	SNP	2002	SNP
GB	SNP	2006	SNP
GB	SNP	2010	SNP
GB	SNP	2014	SNP
GB	SNP	2019	SNP
GB	UKIP	1999	UKIP
GB	UKIP	2006	UKIP
GB	UKIP	2010	UKIP
GB	UKIP	2014	UKIP
GB	UKIP	2019	UKIP
GBUBS
GR	-	-	ΑΝ.ΕΛ.
GR	-	-	ΔΗ.ΣΥ.
GR	-	-	Ε.Κ.
GR	-	-	ΚΙΝ.ΑΛ.
GR	-	-	ΛΑ.Ε.
GR	DIMAR	2014	ΔΗΜ.ΑΡ
GR	EL	2019	Ε.Λ.
GR	KKE	1999	K.K.E.
GR	KKE	2002	K.K.E.
GR	KKE	2006	K.K.E.
GR	KKE	2010	K.K.E.
GR	KKE	2014	K.K.E.
GR	KKE	2019	K.K.E.
GR	MR25	2019	ΜέΡΑ25
GR	ND	1999	Ν.Δ.
GR	ND	2002	Ν.Δ.
GR	ND	2006	Ν.Δ.
GR	ND	2010	Ν.Δ.
GR	ND	2014	Ν.Δ.
GR	ND	2019	Ν.Δ.
GR	PASOK	1999	ΠΑ.ΣΟ.Κ.
GR	PASOK	2002	ΠΑ.ΣΟ.Κ.
GR	PASOK	2006	ΠΑ.ΣΟ.Κ.
GR	PASOK	2010	ΠΑ.ΣΟ.Κ.
GR	PASOK	2014	ΠΑ.ΣΟ.Κ.
GR	PASOK	2019	ΠΑ.ΣΟ.Κ.
GR	Potami	2014	Τ.Π.
GR	SYRIZA	2006	ΣΥ.ΡΙΖ.Α.
GR	SYRIZA	2010	ΣΥ.ΡΙΖ.Α.
GR	SYRIZA	2014	ΣΥ.ΡΙΖ.Α.
GR	SYRIZA	2019	ΣΥ.ΡΙΖ.Α.
GR	XA	2014	Χ.Α.
GR	XA	2019	Χ.Α.
HR	-	-	BDSH
HR	-	-	BM 365 i NZ
HR	-	-	BUZ
HR	-	-	DC
HR	-	-	DP
HR	-	-	FOKUS
HR	-	-	GLAS
HR	-	-	HDS
HR	-	-	HDS, HSLS, HDSSB
HR	-	-	HGS
HR	-	-	HRAST
HR	-	-	HRID
HR	-	-	HRVATSKI_LABURISTI
HR	-	-	HS
HR	-	-	HSD
HR	-	-	HSS i Demokrati
HR	-	-	HSU, SNAGA, NZ i NP
HR	-	-	ID
HR	-	-	IDS, PGS, RI
HR	-	-	MDS
HR	-	-	NAPRIJED_HRVATSKA
HR	-	-	NLM
HR	-	-	NLSP
HR	-	-	NOVI_VAL
HR	-	-	Nezavisni
HR	-	-	PAMETNO
HR	-	-	PGS
HR	-	-	PH
HR	-	-	REFORMISTI
HR	-	-	SBHS
HR	-	-	SDAH
HR	-	-	SIP
HR	-	-	SMSH
HR	-	-	SNAGA
HR	-	-	ZK
HR	-	-	Živi zid i PH
HR	-	-	Živi zid, SNAGA
HR	HDSSB	2014	HDSSB
HR	HDSSB	2019	HDSSB
HR	HDZ	2014	HDZ
HR	HDZ	2019	HDZ
HR	HKS	2019	HKS
HR	HNS	2014	HNS
HR	HNS	2019	HNS
HR	HSLS	2014	HSLS
HR	HSLS	2019	HSLS
HR	HSP	2014	HSP
HR	HSP-AS	2014	HSP_AS
HR	HSS	2014	HSS
HR	HSS	2019	HSS
HR	HSU	2019	HSU
HR	IDS	2014	IDS
HR	IDS	2019	IDS
HR	MB 365	2019	BM365
HR	Most	2019	Most
HR	ORaH	2014	ORAH
HR	SDP	2014	SDP
HR	SDP	2019	SDP
HR	SDSS	2019	SDSS
HR	ZZ	2019	ŽIVI_ZID
HU	-	-	Huxit
HU	-	-	MLP
HU	-	-	MNOÖ
HU	-	-	Mi Hazánk
HU	-	-	Mi Hazánk-frakció
HU	-	-	Momentum-frakció
HU	-	-	Párbeszéd
HU	-	-	Párbeszéd-frakció
HU	-	-	Szolidaritás
HU	-	-	Volner
HU	-	-	ÚK
HU	DK	2014	DK + DK-frakció
HU	DK	2019	DK + DK-frakció
HU	E14	2014	EGYÜTT
HU	E14	2019	EGYÜTT
HU	Fidesz	2014	Fidesz + Fidesz-frakció
HU	Fidesz-KDNP	2019	Fidesz
HU	Fidesz-M	2002	Fidesz
HU	Fidesz-M	2006	Fidesz
HU	Fidesz-M	2010	Fidesz
HU	JOBBIK	2010	JOBBIK + JOBBIK-frakció
HU	JOBBIK	2014	JOBBIK + JOBBIK-frakció
HU	JOBBIK	2019	JOBBIK + JOBBIK-frakció
HU	KDNP	2006	KDNP + KNDP-frakció
HU	KDNP	2010	KDNP + KNDP-frakció
HU	LMP	2010	LMP + LMP-frakció
HU	LMP	2014	LMP + LMP-frakció
HU	LMP	2019	LMP + LMP-frakció
HU	MM	2019	Momentum
HU	MSZP	2010	MSZP + MSZP-frakció
HU	MSZP	2014	MSZP + MSZP-frakció
HU	MSZP	2019	MSZP + MSZP-frakció
HU	MSzP	2002	MSZP
HU	MSzP	2006	MSZP
IS	-	-	Bf
IS	-	-	U
IS	F	2019	F
IS	FIF	2019	Flf
IS	Graen	2019	Vg
IS	M	2019	M
IS	Pi	2019	P
IS	Sam	2019	Sf
IS	Sj	2019	S
IS	V	2019	V
IT	-	-	AL-A
IT	-	-	AL-A (MpA)
IT	-	-	ALA
IT	-	-	ALA-PRI
IT	-	-	AP (NCD-UDC)
IT	-	-	AP-CpE-NCD
IT	-	-	Art.1-MDP
IT	-	-	Art.1-MDP-LeU
IT	-	-	Aut (SVP, UV, PATT, UPT) - PSI
IT	-	-	Aut (SVP, UV, PATT, UPT)-PSI-MAIE
IT	-	-	Aut (SVP-PATT, UV)
IT	-	-	CAL-Alt-Pc-Idv
IT	-	-	CAL-Pc-Idv
IT	-	-	CRi
IT	-	-	CoR
IT	-	-	EU-MAIE-CD
IT	-	-	FL (Id-PL, PLI)
IT	-	-	GAL
IT	-	-	GAL (DI, Id, GS, M, MPL, RI, E-E)
IT	-	-	GAL (GS, LA-nS, MpA, NPSI, PpI)
IT	-	-	GAL (GS, LA-nS, MpA, NPSI, PpI, IdV, VGF)
IT	-	-	GAL (GS, MpA, NPSI, PpI, IdV, VGF, FV)
IT	-	-	GAL (GS, PpI, FV, M)
IT	-	-	GAL (GS, PpI, FV, M, MBI, Id)
IT	-	-	GAL (GS, PpI, M, Id, E-E, MPL)
IT	-	-	GAL (GS, PpI, M, Id, E-E, MPL, RI)
IT	-	-	GAL (GS, PpI, M, MBI, Id, E-E)
IT	-	-	GAL-UDC
IT	-	-	IV-PSI
IT	-	-	IpF-CD
IT	-	-	L-SP
IT	-	-	L-SP-PSd'Az
IT	-	-	Misto
IT	-	-	NcI
IT	-	-	PI
IT	FI	1999	FI-BP + FI-PdL XVII + FIBP-UDC
IT	FI	2002	FI-BP + FI-PdL XVII + FIBP-UDC
IT	FI	2006	FI-BP + FI-PdL XVII + FIBP-UDC
IT	FI	2014	FI-BP + FI-PdL XVII + FIBP-UDC
IT	FI	2019	FI-BP + FI-PdL XVII + FIBP-UDC
IT	FdI	2014	FdI
IT	FdI	2019	FdI
IT	LN	1999	LN-Aut
IT	LN	2002	LN-Aut
IT	LN	2006	LN-Aut
IT	LN	2010	LN-Aut
IT	LN	2014	LN-Aut
IT	LN	2019	LN-Aut
IT	M5S	2014	M5S.1 + M5S.2
IT	M5S	2019	M5S.1 + M5S.2
IT	NCD	2014	NCD
IT	PD	2010	PD
IT	PD	2014	PD
IT	PD	2019	PD
IT	PDL	2010	PdL
IT	SC	2014	SCpI
LT	-	-	FLG
LT	-	-	LSDDF
LT	-	-	MG
LT	DK	2014	DKF
LT	DP	2006	DPF
LT	DP	2010	DPF
LT	DP	2014	DPF
LT	DP	2019	DPF
LT	LLRA	2002	LLRA-KŠSF + LLRAF
LT	LLRA	2006	LLRA-KŠSF + LLRAF
LT	LLRA	2010	LLRA-KŠSF + LLRAF
LT	LLRA	2014	LLRA-KŠSF + LLRAF
LT	LLRA	2019	LLRA-KŠSF + LLRAF
LT	LRLS	2010	LSF
LT	LRLS	2014	LSF
LT	LRLS	2019	LSF
LT	LSDP	2002	LSDPF
LT	LSDP	2006	LSDPF
LT	LSDP	2010	LSDPF
LT	LSDP	2014	LSDPF
LT	LSDP	2019	LSDPF
LT	LVZS	2014	LVŽSF
LT	LVZS	2019	LVŽSF
LT	TS	2006	TS-LKDF
LT	TS	2010	TS-LKDF
LT	TT	2006	TTF + TTFSL
LT	TT	2010	TTF + TTFSL
LT	TT	2014	TTF + TTFSL
LT	TT	2019	TTF + TTFSL
LV	-	-	JV
LV	-	-	SAKAŅA
LV	-	-	SASKAŅA
LV	AP!	2019	AP
LV	JKP	2019	JK
LV	KPV LV	2019	KPV-LV
LV	LRA	2014	LRA
LV	LRA	2019	LRA
LV	NA	2010	NA
LV	NA	2014	NA
LV	NA	2019	NA
LV	NSL	2014	NSL
LV	V	2010	VIENOTĪBA
LV	V	2014	VIENOTĪBA
LV	V	2019	VIENOTĪBA
LV	ZZS	2002	ZZS
LV	ZZS	2006	ZZS
LV	ZZS	2010	ZZS
LV	ZZS	2014	ZZS
LV	ZZS	2019	ZZS
NL	-	-	BBB
NL	-	-	BIJ1
NL	-	-	De Lange
NL	-	-	DenHaan
NL	-	-	GKVK
NL	-	-	GKÖ
NL	-	-	Gündoğan
NL	-	-	Houwers
NL	-	-	JA21
NL	-	-	Klein
NL	-	-	Krol
NL	-	-	Monasch
NL	-	-	Nieuwe Wegen
NL	-	-	OSF
NL	-	-	Omtzigt
NL	-	-	VOLT
NL	-	-	Van Haga
NL	-	-	Van Kooten-Arissen
NL	-	-	Van Vliet
NL	-	-	vKA
NL	-	-	vanPareren
NL	50PLUS	2014	50PLUS
NL	50PLUS	2019	50PLUS
NL	CDA	1999	CDA
NL	CDA	2002	CDA
NL	CDA	2006	CDA
NL	CDA	2010	CDA
NL	CDA	2014	CDA
NL	CDA	2019	CDA
NL	CU	2002	CU
NL	CU	2006	CU
NL	CU	2010	CU
NL	CU	2014	CU
NL	CU	2019	CU
NL	D66	1999	D66
NL	D66	2002	D66
NL	D66	2006	D66
NL	D66	2010	D66
NL	D66	2014	D66
NL	D66	2019	D66
NL	DENK	2019	DENK
NL	FvD	2019	FvD
NL	GL	1999	GL
NL	GL	2002	GL
NL	GL	2006	GL
NL	GL	2010	GL
NL	GL	2014	GL
NL	GL	2019	GL
NL	PVV	2006	Bontes + Bontes/Van Klaveren + PVV
NL	PVV	2010	Bontes + Bontes/Van Klaveren + PVV
NL	PVV	2014	Bontes + Bontes/Van Klaveren + PVV
NL	PVV	2019	Bontes + Bontes/Van Klaveren + PVV
NL	PVdD	2019	PvdD
NL	PvdA	1999	PvdA
NL	PvdA	2002	PvdA
NL	PvdA	2006	PvdA
NL	PvdA	2010	PvdA
NL	PvdA	2014	PvdA
NL	PvdA	2019	PvdA
NL	PvdD	2010	PvdD
NL	PvdD	2014	PvdD
NL	SGP	1999	SGP
NL	SGP	2002	SGP
NL	SGP	2010	SGP
NL	SGP	2014	SGP
NL	SGP	2019	SGP
NL	SP	1999	SP
NL	SP	2002	SP
NL	SP	2006	SP
NL	SP	2010	SP
NL	SP	2014	SP
NL	SP	2019	SP
NL	VVD	1999	VVD
NL	VVD	2002	VVD
NL	VVD	2006	VVD
NL	VVD	2010	VVD
NL	VVD	2014	VVD
NL	VVD	2019	VVD
NO	-	-	PF
NO	-	-	TF
NO	-	-	UAV
NO	Ap	2019	A
NO	FrP	2019	FrP
NO	H	2019	H
NO	KrF	2019	KrF
NO	MDG	2019	MDG
NO	RV	2019	R
NO	SV	2019	SV
NO	Sp	2019	Sp
NO	V	2019	V
PL	-	-	KO
PL	-	-	KP-PSL
PL	-	-	Lewica
PL	-	-	Niezrzeszeni
PL	-	-	PrzywrócićPrawo
PL	-	-	Teraz
PL	-	-	Teraz!
PL	-	-	UPR
PL	Konfederacia	2019	Konfederacja
PL	Kukiz	2019	Kukiz15
PL	PiS	2002	PiS
PL	PiS	2006	PiS
PL	PiS	2010	PiS
PL	PiS	2014	PiS
PL	PiS	2019	PiS
PT	-	-	CH
PT	-	-	GP-BE
