ParlaMint-BE_2019-10-03-55-plenair-ip007x.u1	[[Le président:]] La séance est ouverte. De vergadering is geopend.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u12	[[De voorzitter:]] Mevrouw Bury, u moet tot uw vragen komen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u13	[[05.02 Katleen Bury (VB):]] Ja. Daarenboven zouden kindermoordenaars, verkrachters en iedereen die hen daarbij assisteert, een effectieve levenslange gevangenisstraf moeten krijgen. Een systeem dat ervan uitgaat dat zulke misdadigers nog moeten worden gerehabiliteerd, is naïef en ondermijnt het volledige afschrikkingseffect van adequate straffen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u14	[[De voorzitter:]] Mevrouw Bury, u moet uw vragen stellen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u15	[[05.03 Katleen Bury (VB):]] Ja, oké. Het is een van de redenen waarom het Vlaams Belang komaf wil maken met de wet inzake de voorwaardelijke invrijheidsstelling, voorheen de wet-Lejeune. Mijnheer de minister, hoever zijn de plannen gevorderd, die onder meer in het eerste rapport-Dutroux verwerkt waren, om de wet inzake de voorwaardelijke invrijheidsstelling, voorheen de wet-Lejeune, volledig af te schaffen en te vervangen door een systeem van onder meer onsamendrukbare straffen voor dergelijke misdrijven?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u16	[[De voorzitter:]] Ik ben andermaal wat milder geweest omdat het uw eerste speech was, waarvoor mijn felicitaties.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u17	[[05.04 Sophie De Wit (N-VA):]] Mijnheer de voorzitter, mijnheer de minister, de zaak-Dutroux heeft heel wat jaren geleden ervoor gezorgd dat onze samenleving in shock was. Het ergst denkbare is toen gebeurd. Daarover bestaat geen discussie. De betrokkenen zijn gestraft, maar op een bepaald ogenblik komt het onvermijdelijk strafeinde. Dat is verschrikkelijk moeilijk want hoe ga je daar als maatschappij mee om. Dat is een heel moeilijk vraagstuk. Vandaag stellen we vast dat Lelièvre 23 van zijn 25 jaar straf heeft uitgezeten. De strafuitvoeringsrechter heeft geoordeeld dat de man kan vrijkomen als hij aan een aantal voorwaarden voldoet. De commotie die is ontstaan, deel ik en ze is ook begrijpelijk, want als zo iemand al niet zijn volledige straf moet uitzitten, wie dan wel? Dat is een heel logische vraag. Ik ben ook mama van vier en ik begrijp de commotie. Er zijn twee antwoorden op die vraag. Ofwel gaat men de gigantisch populistische toer op, pleit men voor het afschaffen van de wet-Lejeune en laat men iedereen zijn straf volledig uitzitten. Men moet hierbij wel beseffen dat seksueel delinquenten graag hun straf volledig uitzitten omdat ze dan ongecontroleerd de gevangenispoort achter zich kunnen laten, zonder dat nog iemand toekijkt. Dit is de andere kant van de medaille waarmee toch ook rekening moet worden gehouden. Er is ook een andere oplossing mogelijk. Deze oplossing is misschien minder evident, maar het kan er wel voor zorgen dat belangen aan mekaar worden gekoppeld. Men kan ervoor pleiten om iemand zo lang mogelijk in de cel te houden omdat een straf nu eenmaal een straf moet zijn, maar tegelijkertijd kan men ook naar een reclassering toewerken. Op die manier biedt men perspectief en kan men naderhand voluit controleren, een oogje in het zeil houden. Wij hebben die oplossing, het is de terbeschik­kingstelling van de strafuitvoeringsrechtbank. Dit kan voor vijf, tien of vijftien jaar, of zelfs langer als het nodig is. Op die manier blijft men onder controle van de rechtbank en beschermt men de maatschappij veel beter tegen recidive. Er is evenwel één probleem, want in uw nieuw strafwetboek wilt u het tbs-systeem eigenlijk afschaffen. Ik meen dat de casus-Lelièvre een goede kapstok is om na te gaan of dit wel een goed idee is. Zouden we de tbs toch niet beter behouden? Op die manier kunnen we reclassering aanmoedigen maar tegelijkertijd kunnen we ook afdoende straffen en een oogje in het zeil houden om de samenleving te beschermen zoals het hoort. Ik kijk uit naar uw antwoord want ik ben benieuwd wat u gaat doen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u18	[[05.05 Minister Koen Geens:]] Mijnheer de voorzitter, het is mij een genoegen om nog een tweede keer de collega's van het Vlaams Belang geluk te wensen, in dit geval voor de maidenspeech van mevrouw Bury. Mevrouw Bury, ik had niet gehoopt dat u niet beschaamd zou zijn voor België, maar ik ben toch een beetje fier als ik vandaag in de krant lees dat een seriemoordenaar uit de jaren 90 door de nieuwe DNA-technieken is ontmaskerd. Ik ben ook een beetje fier als in dit Parlement wetsvoorstellen worden ingediend, waarin de onverjaarbaarheid van seksuele misdrijven wordt voorgestaan en er ergens een minister van Justitie is die zegt dat dat misschien nog niet zo'n kwaad idee is. Ik denk dat u geen te zwart beeld van ons strafrecht mag schetsen. We hebben in de voorbije legislatuur ook de beveiligingsperiode ingevoerd, die toelaat aan de bodemrechter om meteen bij de uitspraak van de straf de minimale periode die moet worden uitgevoerd te bepalen. Ik ga deze beslissing niet becommentariëren, maar er zouden weinig bodemrechters zijn die bij een straf van 25 jaar zouden zeggen dat er minstens 23 jaar moeten worden uitgezeten. Niet alleen omdat de wet dat niet toelaat, maar ook omdat ze zich de vraag zouden stellen of dat de juiste manier is, indien de straf 25 jaar is, waar ik niet in tussenkom. Mag ik eerst en vooral zeggen dat het hof van assisen geen terbeschikkingstelling had uitgesproken. Dat had gekund, maar dat is niet gebeurd. Ik wil graag spreken in de commissie voor Justitie over de opportuniteit van de terbeschikkingstelling. Er zijn drie mogelijkheden. Ten eerste, de terbeschikkingstelling die alleen door de bodemrechter kan worden opgelegd. Ten tweede, de terbeschikkingstelling die door de strafuitvoeringsrechter en cours de route kan worden opgelegd. Ten derde, zoals de experts voorstaan, geen terbeschikkingstelling in het algemeen. Ik ben in de gevangenissen veel mensen tegengekomen die een terbeschikkingstelling hebben gekregen. Na een straf van 20 jaar nog eens 15 jaar erbij, dat creëert niet onmiddellijk perspectieven op verbetering. Men moet daar dus goed over nadenken. Voorts, wat men te weinig weet is dat wanneer men iemand voorwaardelijk in vrijheid stelt, bijvoorbeeld na 23 jaar en voorlopig, men niet alleen een hoop strenge voorwaarden oplegt, maar de proeftijd ook loopt vijf tot tien jaar nadat de voorwaarden zijn opgelegd, dus langer dan de initiële straf. Dat is misschien iets dat u vroeger in uw cursus is ontgaan, mevrouw Bury. Dat is dus niet onbelangrijk, want het betekent dat men iemand veel langer aan de teugels kan houden dan hij aan de teugels wordt gehouden door het einde van een strafbepaling. Wij mogen dit debat voeren. Ik sta daar voor open, zoals u merkt, maar ik zou niet graag hebben dat men dit voert op een manier – u hebt drie keer het woord "naïef" gebruikt in uw vragen – die naïef is. Als ik dat toch ook mag zeggen, mevrouw Bury. Maar nogmaals mijn felicitaties.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u19	[[05.06 Katleen Bury (VB):]] Mijnheer de minister, ik dank u voor uw antwoord. Ik heb gisteren de hele namiddag interpellaties en vragen gelezen die mevrouw Pas hierover al aan u had gericht. Er is wel al wat gebeurd in deze materie. Dit dossier ligt heel gevoelig in België en had kunnen worden aangegrepen om eindelijk een andere aanpak uit te werken voor verkrachters, moordenaars en iedereen die hen daarbij assisteert. Lelièvre, als concreet voorbeeld, heeft nooit oprechte spijt uitgedrukt, laat staan echt verteld hoe de ontvoeringen precies zijn verlopen. Nooit vertelde hij waarom hij die meisjes niet had bevrijd op het moment waarop Dutroux er niet was. Nooit heeft hij geantwoord op de vele vragen van de ouders die hun kinderen verloren. Wat moeten we dan denken over zijn geschiktheid om weer in de maatschappij losgelaten te worden? We zien inderdaad dat de geesten intussen zijn gerijpt. N-VA en sp.a dienden een wetsvoorstel in om seksueelmisbruikdelicten niet meer te laten verjaren. Enkele jaren geleden werd het wetsvoorstel van het Vlaams Belang om de verjaringstermijn te verlengen tot vijftig jaar nog door diezelfde sp.a en N-VA weggestemd. Ik ben blij uit uw antwoord te hebben vernomen dat wij dit debat de komende maanden zullen voeren en dat dit eindelijk zal resulteren in de afschaffing van deze wet.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u20	[[05.07 Sophie De Wit (N-VA):]] Mijnheer de minister, ik dank u voor uw antwoord. Naïef ben ik jammer genoeg al lang niet meer. Uw antwoord waarin u verwees naar de beveiligingsperiode overtuigt mij dan ook niet. Die lost het probleem natuurlijk niet op. Het probleem is dat er achteraf geen controle is. Vroeger waren er champetters die rondreden in de wijk en een oogje in het zeil hielden. Dat kon toen nog. Vandaag kan dat niet meer. Wij hebben, als wetgever, de taak ervoor te zorgen dat er opnieuw een champetter is, en wij moeten die de tools geven om voor champetter te kunnen spelen, met instanties die daarvoor geschikt zijn. De strafuitvoeringsrechtbank is daar uitermate voor geschikt. Die kent dat. Ik ben er fier op dat wij een voorstel hebben om dit probleem op te lossen. De huidige DNA-wetgeving heeft onze fractie ook zo aangekaart in de Kamer. Mijnheer de minister, ik hoop dat ik er binnenkort ook fier op mag zijn dat u ons steunt en dat u ons wetsvoorstel inzake de uitbreiding van de terbeschikkingstelling steunt. Zo kunnen wij doen wat van ons verwacht wordt, met name de rechters de tools geven om onze maatschappij zoveel mogelijk te beschermen. Want daar gaat het om.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u21	[[06.01 Jean-Marie Dedecker (ONAFH):]] Mijnheer de voorzitter, mijnheer de minister, zoals u zei, zijn de wegen van Justitie ondoorgrondelijk. De laatste weken hebben wij kunnen zien hoe bij een CEO huiszoekingen werden uitgevoerd omdat zij ervan wordt verdacht 6 000 euro te hebben verdiend door de verkoop van aandelen met voorkennis. Dat onderzoek loopt vandaag nog altijd en het is zelfs zo erg dat dit tot broodroof leidt bij een van de beste CEO's die onze bedrijven ooit heeft gekend. Dit enerzijds. Anderzijds, ik spreek ook eens over "anderzijds", wat niet vaak gebeurt in mijn partij…. [[(gelach van zowel minister Geens, op de banken als bij de heer Dedecker zelf)]] Anderzijds, mijnheer de minister, werden op 2 april 2019 door een gewezen inspecteur van de Veiligheid van de Staat – ik zal zijn naam niet noemen –, vijf dossiers ingediend over witwaspraktijken, smeergeld en corruptie, en dat niet in de minste zaken: verhuis van het Rijksadministratief Centrum, bouw van de ambassade in Kinshasa, de Libische miljarden, waaraan wij prinselijke genoegens beleven, en Kazachgate. Die klachten gaan over een minister en over topapparatsjiks van ons apparaat. Die dossiers werden op 2 april ingediend en op 27 september geseponeerd, collega's luister goed, zonder dat er enige onderzoeksdaad werd verricht. Ik ben dat nagegaan. Vandaag moeten wij vaststellen dat de inspecteur die deze corruptie aanklaagde, en zijn gezin doodsbedreigingen hebben ontvangen, en niet van de minste mensen, maar van mensen die deel uitmaken van het Comité P. De wet van 5 september 2013 voorziet in de mogelijkheid tot indiening van een klacht, maar tot op heden is er nog niet in een wettelijke bescherming van klokkenluiders voorzien. Op 16 april 2019 vraagt het Europees Parlement om een wettelijke regeling voor de bescherming van de klokkenluider. Die is er nog altijd niet. Wonder boven wonder, op 3 mei legt een zekere minister Reynders in de Ministerraad een voorontwerp neer om geclassificeerde informatie beter te beschermen en de pers te muilkorven, het omgekeerde dus van wat het Europees Parlement vraagt. Mijnheer de minister, ik heb de volgende vragen. Hoever staat het met de aanpassing van de Belgische wetgeving aan de Europese richtlijn inzake de bescherming van de klokkenluiders? Hoever staat het met het voorontwerp omtrent de bescherming van geclassificeerde informatie?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u22	[[06.02 Minister Koen Geens:]] Mijnheer Dedecker, ik heb vandaag nog niet gezegd dat de wegen van Justitie ondoorgrondelijk zijn, maar als het u plezier doet, wil ik graag toegeven dat die van God ondoorgrondelijk zijn. Over Justitie spreek ik mij echter niet uit. Klokkenluiders komen voor in een wet van 2013, die in 2019 is geperfectioneerd. De Europese richtlijn waarvan u gewag maakt, zullen wij komende maandag in Luxemburg definitief goedkeuren – dat is nog niet gebeurd – tijdens de Raad. Zij zal dan binnen een jaar of twee tot een aanpassing van het Belgisch recht moeten leiden. Ik wijs erop dat dit nationale wetgeving voor de publieke sector is en die in België vooral mensen beschermt tegen disciplinaire sancties van hun eigen autoriteit en tegen het verlies van pensioenrechten. Die bescherming reikt over het ontslag, vrijwillig of gedwongen, heen. Op dit ogenblik is er in België dus al een zekere bescherming. Wat betreft de aantijging die wordt gemaakt door een bepaalde heer tegen Justitie, tegen leden van de uitvoerende macht of zelfs tegen leden van het Comité I, word ik door een dubbele scheiding der machten weerhouden: enerzijds die met de rechterlijke macht, die onafhankelijk is, en anderzijds die met het Parlement, dat de bevoegdheid van een zekere voogdij over het Comité I heeft. Ten slotte, wat betreft de houding van de regering en van de minister die bevoegd is, met name collega Reynders, met betrekking tot geclassificeerde informatie, is het zo dat er een diepgaand onderhoud is geweest tussen de persvertegenwoordigers en het kabinet-Reynders en dat er ook overleg is geweest met mijn kabinet. Wij zullen de wetgeving die in voorbereiding is, aanpassen met het oog op een zo goed mogelijke handhaving van het bronnengeheim.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u23	[[06.03 Jean-Marie Dedecker (ONAFH):]] Dank u, mijnheer de minister. Ik heb alle begrip voor de scheiding der machten, maar ik gebruik ook het gezegde "je maintiendrai". Het voornemen om klokkenluiders te beschermen staat nergens in België. Ik kan het u voorlezen: "Op dit moment bieden slechts tien EU-lidstaten passende juridische bescherming voor klokkenluiders", meldde het Europees Parlement halverwege april. België zit daar niet bij. Dit kost 9,6 miljard euro jaarlijks volgens de studie van de Europese Commissie, dit voor Europa en dus niet alleen voor ons. Ten tweede wil ik over het voorontwerp van wet ook iets zeggen. Het ligt bij de Raad van State en werd daar afgeschoten omdat men vindt dat de vrije meningsuiting te veel wordt beperkt. Ook het Comité I heeft daar al zijn mening over gegeven. Het is absoluut tijd om daar werk van te maken. Het kan toch niet dat topambtenaren, mensen die voor de Veiligheid van de Staat hebben gewerkt, met de dood worden bedreigd en dat daar niets mee gebeurt.
