ParlaMint-BE_2015-12-18-54-plenair-ip091x.u1	[[De voorzitter:]] De vergadering is geopend. La séance est ouverte.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u12	[[01.09 Ahmed Laaouej (PS):]] Monsieur le président, je me réjouis de la présence de répétiteurs dans cette assemblée. Je tiens donc à remercier MM. Gilkinet et Van Hees. Je dirai en boutade que M. Van Hees me fait penser à ce coq qui croit que le soleil se lève parce qu'il fait cocorico. Cela dit, monsieur Van Hees, je voudrais vous rappeler que la sécurité sociale – j'en reviens ici aux réponses données à M. Bogaert – est le fruit de discussions ardues entre les travailleurs et les employeurs. Puis, elle a été étatisée en 1944, quand les socialistes démocrates que nous sommes ont pris le taureau par les cornes pour dire qu'il fallait assurer un niveau de confort digne pour les travailleurs, à une époque où les idéologies collectivistes de votre famille politique étaient autres, idéologies qui n'ont pas impressionné par leur efficacité. Monsieur Bogaert, je n'ai pas dit qu'il n'y avait que les cotisations sociales personnelles. Je n'ai jamais dit cela. J'ai même explicitement parlé de cotisations sociales patronales, puisqu'en réalité, c'est de cela dont il est question. Les cotisations sociales patronales comme les cotisations sociales personnelles sont les seules à participer au financement de la sécurité sociale. Je reviendrai ultérieurement sur le financement alternatif. C'est un élément du contrat d'échange. Autrement dit, quand un travailleur négocie avec un employeur individuellement ou collectivement, même si c'est souvent collectivement, il lui fait savoir qu'il veut du salaire monétaire, mais aussi qu'il veut être couvert contre les risques liés à ses conditions de travailleur. C'est la raison pour laquelle les deux financent ce système d'assurance légale. Je parle ici du salaire indirect que d'autres ont évoqué. Je n'ai rien dit d'autre, monsieur Bogaert! Deuxième élément: le financement alternatif est une évolution intéressante. Pourquoi? On se rend compte, en raison de l'évolution et de la financiarisation de l'économie, qu'aujourd'hui, il est possible de faire de l'argent avec de l'argent. Du capital produit du capital. Par ailleurs, dans la création de richesse, la part de la robotisation, de la numérisation est sans cesse croissante et c'est la raison pour laquelle la part des salaires est moins importante. Il n'y a rien d'illogique, rien d'incohérent à ce que l'on puisse mettre à contribution d'autres assiettes, notamment le capital, pour financer la sécurité sociale. Je ne vais pas vous infliger un cours d'économie classique, mais pour produire de la richesse, il faut du capital, du travail et des ressources naturelles. Que l'ensemble finance la sécurité sociale n'a strictement rien d'incohérent, que du contraire. Je répète qu'en réduisant les cotisations sociales patronales, en même temps que vous diminuez la norme de croissance des soins de santé, vous touchez au pouvoir d'achat de la population. Dire le contraire serait erroné.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u13	[[01.10 Hendrik Bogaert (CD&V):]] Mijnheer Laaouej, uw redenering is dus dat, als de regering de werkgeversbijdrage verlaagt, wij dan aan de koopkracht van de mensen raken. Is dat wat u zegt?
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u14	[[01.11 Ahmed Laaouej (PS):]] Entre les deux! Entre vos deux prémisses, il y en a une autre. Vous aboutissez à un définancement de la sécurité sociale qui se traduira, et votre politique le montre déjà, par une réduction des protections sociales. Quand les médicaments et le médecin deviennent plus chers, on perd du revenu disponible. C'est de l'argent qu'on ne peut consacrer à autre chose, vous touchez au pouvoir d'achat de la population.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u15	[[01.12 Hendrik Bogaert (CD&V):]] Als dat juist is, moet u toch eens op de volgende vraag antwoorden. Wij hebben het altijd over de taxshift, maar er is taxshift 1 en taxshift 2. Taxshift 1 is eigenlijk het competitiviteitspact van de vorige regering-Di Rupo. In die taxshift 1, het competitiviteitspact, doen wij niets anders. Wij hebben daar een verlaging van de werkgeverslasten doorgevoerd. U zegt dat een verlaging van de werkgeverslasten een verlaging van de koopkracht van de arbeiders betekent. Voor een keer geeft de PTB mij gelijk. Ik hoop dat u mij technisch gelijk geeft, niet ideologisch, want anders zit ik zelf in de problemen. Wij hebben echter niet anders gedaan in de vorige regering. Wij hebben het competitiviteitspact afgesloten. Uw collega Daerden heeft in de commissie trouwens een tabel verspreid om te tonen in welke mate de werkgeverslasten onder het competitiviteitspact zijn gedaald. Wat is dan precies het verwijt? Dat deze regering dat ook doet? Ik daag u uit in de redenering dat een verlaging van de werkgeversbijdragen leidt tot koopkrachtverlies bij arbeiders. Legt u dat eens uit.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u16	[[01.13 Benoît Piedboeuf (MR):]] Monsieur le président, il s'agit peut-être d'un détail mais, comme nous l'avons déjà dit, le diable se cache dans les détails. M. Laaouej a parlé de l'augmentation du prix des médicaments. Or la ministre s'échine justement à faire baisser le prix des médicaments et à ce que cela coûte moins cher pour le patient. C'est donc un mauvais exemple.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u17	[[01.14 Frédéric Daerden (PS):]] Monsieur le président, je serai très bref. Je reviens sur mon intervention de lundi en commission, comme M. Bogaert vient d'y faire référence. Je rappelais en effet déjà les mesures qui étaient prises dans le pacte de compétitivité et j'insistais aussi lundi sur l'avis des partenaires sociaux quant à un financement structurel garanti de la sécurité sociale et ce, vu l'évolution de la part des cotisations sociales dans son financement. Je regrettais et je déplorais le fait que l'on n'ait pas prévu ce financement structurel garanti dans le cadre de cette réforme actuelle. Mme la ministre a annoncé que ce serait pour demain ou après-demain et que ce serait envisagé. Je regrette une fois de plus, comme j'ai eu l'occasion de le dire pour les pensions, qu'on fasse les choses un peu à l'envers. On ne garantit pas le financement mais on réduit les cotisations. Ce qu'il aurait fallu faire, c'est garantir ce financement, intégrer cet avis unanime des partenaires sociaux en parallèle avec cette diminution de contribution par la voie des cotisations.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u18	[[01.15 Eric Van Rompuy (CD&V):]] Mijnheer Laaouej, uw uiteenzetting verrast mij. Ik ben geen lid van de commissie voor de Sociale Zaken, maar klopt het dat de socialisten niet akkoord gaan met een vermindering van de werkgeversbijdrage? Iedereen is er altijd van uitgegaan dat de arbeidskosten …
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u19	[[01.16 Karin Temmerman (sp.a):]] (…)
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u20	[[01.17 Eric Van Rompuy (CD&V):]] Mevrouw Temmerman, ik heb altijd begrepen, ook van de vakbonden, dat dit hun goedkeuring wel kan wegdragen. Ik denk bijvoorbeeld aan het ACV, waarvan ik niet de woordvoerder wil zijn, dat altijd naar voren heeft gebracht dat het luik van de taxshift over de vermindering van de sociale bijdragen om de arbeidskosten te verlagen, hun goedkeuring kon wegdragen. Gisteren heb ik dat ook naar voren gebracht. Mevrouw Onkelinx, wij moeten de competitiviteit verbeteren en de arbeidskosten verlagen. De werkgeversbijdragen zijn een essentieel onderdeel van die kosten. Wij hebben één indexsprong gehad, maar wij moeten de lonen toch niet verminderen? Mijnheer Van Hees, dat is een component van, zoals u zelf aangeeft, het indirecte loon, dat ook door de werkgevers wordt betaald. Het verlagen van de werkgeversbijdragen is geen cadeau die aan de werkgevers wordt gegeven. Die verlaging komt er om de arbeidskosten goedkoper te maken en op die manier jobs te creëren, die op hun beurt bijdragen leveren. Mevrouw Onkelinx, de sociale zekerheid, pensioenen en werkloosheidsuitkeringen, zal de komende jaren slechts betaalbaar blijven als er jobs bijkomen, als de werkgelegenheid wordt gestimuleerd. Dat is het ABC van de taxshift. Voor mij gaat het daarover, veel meer dan over koopkrachtverschuivingen. Mevrouw Temmerman, ik heb begrepen dat de socialisten van oordeel zijn dat het verminderen van de sociale lasten onaanvaardbaar is. Monsieur Laaouej, l'essentiel est-il la diminution des contributions des employeurs? Je renvoie au rapport.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u21	[[01.18 Ahmed Laaouej (PS):]] Trois milliards!
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u22	[[01.19 Eric Van Rompuy (CD&V):]] Mijnheer Laaouej, bent u tegen de verlaging van de sociale werkgeversbijdragen? Wat ik nu hoor is totaal nieuw. Mevrouw Onkelinx, nu belandt u in de schuif van de heer Van Hees. Dat is PTB-taal; dat is communistentaal.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u23	[[01.20 Ahmed Laaouej (PS):]] Monsieur Van Rompuy, calmez-vous!
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u24	[[01.21 Eric Van Rompuy (CD&V):]] Non, monsieur Laaouej, je m’énerve! Je vous connais comme un homme raisonnable. Maintenant, vous faites de l’idéologie. Vous ne faites plus de l’économie!
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u25	[[01.22 Ahmed Laaouej (PS):]] Je me reconnais un seul défaut, c'est celui de lire trop souvent votre blog, monsieur Van Rompuy. Et c'est peut-être pour ça que j'en viens finalement à dire que votre réforme fiscale, qui n'est pas financée – vous le dites vous-même – va de toute façon vous conduire à faire des économies en sécurité sociale. Vous ne pouvez pas dire le contraire.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u26	[[01.23 Laurette Onkelinx (PS):]] Monsieur Van Rompuy, d'abord, faire de l'idéologie, ce n'est pas une injure. Je ne vous comprends pas quand vous argumentez de cette manière-là. Ensuite, pour ce qui concerne la sécurité sociale, on parle effectivement de quelque chose d'extrêmement important. Pour ceux qui se demandent pourquoi il y a une dotation, je rappelle que la sécurité sociale ne sert pas seulement au bien-être des travailleurs. La sécurité sociale, au fil du temps, a permis de développer des politiques sociales qui permettent à l'ensemble de la population de connaître un bien-être. Et c'est certainement grâce à notre sécurité sociale que: - premièrement, nous sommes parmi les mieux classés dans les "pays du bien-être" cités par l'OCDE; - deuxièmement, on a pu faire au mieux bouclier contre la crise. Chaque fois que nous avons participé à des gouvernements, nous avons accepté des diminutions de cotisations sociales, si possible ciblées sur les bas salaires, de telle manière que l'on puisse en faire des politiques d'emploi. Parallèlement à cela, nous avons toujours dit que nous n'étions pas opposés à des diminutions de cotisations sociales patronales pour soutenir la compétitivité, mais que, dès lors, il fallait assumer le financement de cette sécurité sociale par d'autres moyens. Nous avons, au fur et à mesure, réussi à diversifier les sources de financement de la sécurité sociale et c'est une très bonne chose. Mais là où ça ne va pas, notamment dans votre tax shift, c'est que vous avez refusé de trouver les moyens, par une cotisation importante sur le capital, de venir compenser la diminution forte des cotisations sociales patronales. Et c'est en cela que nous vous reprochons de ne pas défendre notre sécurité sociale. Au contraire, vous la fragilisez. Vous diminuez des cotisations sans, parallèlement, oser ce grand débat d'une taxe sur le capital qui viendrait solidifier notre système.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u27	[[01.24 Peter Vanvelthoven (sp.a):]] Mijnheer de voorzitter, ik ben lichtjes gechoqueerd door de uitlatingen van de voorzitter van de commissie voor de Financiën. Ik heb het voorrecht nu een goed jaar in die commissie te zetelen, als effectief lid. Wij hebben heel dikwijls over de taxshift gesproken. Ik heb toen elke keer gezegd dat wij absoluut voorstander zijn van een taxshift, een verlaging van de lasten voor de bedrijven en een verlaging van de belastingen voor de mensen. Mijnheer Van Rompuy, u hebt ons aangesproken. Wat u hier komt vertellen, namelijk dat wij er nu voor pleiten om de lasten voor de bedrijven niet te verlagen, dat pik ik niet. U bent gewoon niet eerlijk! Voor mij is het duidelijk. Een paar weken geleden werd u door de fractieleider van de N-VA, de heer Vuye, even op het matje geroepen. Ik heb begrepen dat dit effect heeft gehad. U bent heel veel moeite aan het doen om terug in het gareel te lopen en vandaag dingen te vertellen die gewoon niet eerlijk zijn. Toen de heer Vuye een paar weken geleden zei dat er voor het voorzitterschap van een commissie geen intelligentietest moet worden afgelegd, dan vond ik dat een schandalige opmerkingen. Ik moet hem echter misschien stilaan wel gelijk geven.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u28	[[01.25 Servais Verherstraeten (CD&V):]] Mijnheer Vanvelthoven, er is geen gareel groot genoeg om Eric Van Rompuy in toom te houden. Zo’n gareel moet nog worden uitgevonden. Collega’s, de discussie is uiteraard interessant en ik meen, mijnheer Laaouej, dat u in uw uiteenzetting, daarin bijgetreden door uw fractieleider, de bezorgdheid hebt geuit dat een vermindering van de werknemersbijdragen een invloed zal hebben op de financiering van de sociale zekerheid. Het klopt, collega Onkelinx, dat wij dit in de vorige legislaturen altijd hebben bijgepast. Ik nodig u uit om het regeerakkoord er ter zake nog eens bij te nemen. In het luik over de evenwichtsdotatie hebben wij uitdrukkelijk bepaald dat de financiering van de sociale zekerheid geen surplus, maar ook geen tekort mag vertonen. Wij zullen dit via KB aanpassen en verdelen over werknemers en zelfstandigen. Met andere woorden, het principe van de aanzuivering van de tekorten in de sociale zekerheid wordt ook door deze regering, net zoals door de vorige regeringen, gewaarborgd. Er is ter zake eens te meer geen sprake van een stijlbreuk.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u29	[[01.26 Ahmed Laaouej (PS):]] Monsieur le président, je tiens à remercier tous mes collègues pour leur contribution au débat. Nous sommes vraiment là au cœur du sujet. Il s'agit de savoir quel niveau de vie nous voulons assurer à nos concitoyens en services publics et en protection sociale. La thèse que je défends aujourd'hui, comme je l'ai défendue lorsque nous avons examiné le budget, c'est que vous créez une situation budgétaire qui, demain, vous conduira à faire des coupes sombres dans les protections sociales et dans les services publics. Vous n'aurez pas d'autre choix. Il vous manque déjà 3 milliards d'euros à l'horizon 2019. M. Van Rompuy nous parle de 8 milliards d'euros. Personnellement, je pense que, si on ajoute aux 3 milliards toutes les recettes qui, selon moi, sont farfelues et ne tiennent pas le route, on arrive à un minimum de 5 milliards d'euros. Où allez-vous trouver 5 milliards d'euros? Vous n'avez pas trente-six choix. Une première possibilité est d'augmenter les impôts sur la consommation, sachant qu'augmenter les impôts sur le capital sera très problématique pour un gouvernement comme le vôtre. Une deuxième possibilité, c'est faire des économies sur les services publics mais où allez-vous les faire et comment? Le moins qu'on puisse dire, c'est qu'on est déjà à l'os. Enfin, dernière possibilité, c'est toucher à la sécurité sociale. Vous avez d'ailleurs déjà commencé. Nous en avons parlé lors de l'examen du budget sur la norme de croissance des soins de santé. Je vois bien que cela gêne le CD&V. Ce n'est pas une attaque dirigée contre vous. Que du contraire! Si vous pouvez rappeler, au sein du gouvernement, que la sécurité sociale est quelque chose d'important qui protège les travailleurs, leur famille et toute une série d'autres personnes fragilisées, on sera là pour vous y aider. Vous êtes dans le déni d'un certain nombre de réalités, ce n'est pas de ma faute. J'essaie simplement de vous dire que toucher à la sécurité sociale, c'est toucher au pouvoir d'achat. Pour le reste, je rappelle que le précédent gouvernement, auquel vous avez participé et auquel nous participions, a, à l'occasion, diminué ci et là, de manière ciblée, les cotisations. Pourquoi de manière ciblée? Parce qu'on veut que cela soit efficace. Mais, en même temps, le gouvernement Di Rupo a relevé de 7 milliards d'euros la fiscalité sur les revenus du capital. Il faut être honnête, ces 7 milliards ne contribuent pas en entier au financement alternatif de la sécurité sociale. Mais dans ces 7 milliards, vous avez eu un relèvement spectaculaire du précompte mobilier de 15 à 25 % et, à partir de là, un financement alternatif sur la sécurité sociale. Nous avons par ailleurs fait un travail sur les stock options qui, lui aussi, va financer de manière alternative la sécurité sociale. À chaque fois que l'on a octroyé des réductions de cotisations sociales patronales ciblées en échange de créations d'emplois, pour être le plus efficace possible, on a toujours veillé, lorsqu'il y avait des gouvernements à participation socialiste, à renforcer le financement alternatif de la sécurité sociale. Telle est la vérité que vous ne voulez pas entendre!
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u30	[[01.27 Hendrik Bogaert (CD&V):]] Mijnheer Laaouej, excuseer mij dat ik u nogmaals onderbreek, er speelt zich iets interessants af in het halfrond. Het is met mij begonnen en ik zal proberen het vliegtuig goed te doen landen. Dat is tenminste mijn ambitie. Wat u zegt, is wel interessant. Er is natuurlijk de financiering van de taxshift. Wellicht kunnen wij daar later deze voormiddag of namiddag op terugkomen. De sp.a – ik zeg niet de socialisten – zegt bij monde van collega Vanvelthoven dat zij voor de verlaging is, maar een probleem heeft met de wijze financiering ervan. De sp.a wil liever een vermogensbelasting. Wij zullen straks daarover in debat gaan. De PS zegt iets anders. De PS zegt niet alleen een probleem te hebben met hoe de taxshift wordt gefinancierd, de PS zegt ook iets anders. In de commissie heeft de PS een onderscheid gemaakt. Er zijn de maatregelen van het hoofdstuk over de eerste aanwervingen. Collega Daerden zegt dat de PS daar achter staat, dat die maatregelen aanknopen bij wat de vorige regering heeft gedaan en dat zij de kleine en middelgrote ondernemingen ten goede komen. Wij krijgen dus een dikke duim voor alles wat de eerste aanwervingen betreft. Daarna komen wij echter bij hoofdstuk 3 over de competitiviteit en de verlaging van onder andere de werkgeversbijdrage. Volgens de heer Daerden gaat het in het hoofdstuk 3 over, ik citeer: “ een fetisj die de regering al sinds het begin van haar aantreden achternaloopt: het streven naar concurrentievermogen.” Als objectieve observator van het debat kan ik alleen vaststellen dat de sp.a akkoord gaat met alle verlagingen van de taxshift, maar niet met de financiering. De PS zegt iets anders. De PS gaat akkoord met de verlagingen wat betreft de eerste aanwervingen, maar heeft een fundamenteel probleem met de verlaging van de werkgeversbijdrage. Dat zou de PS anders hebben gedaan. Volgens mij is er dus een verschil in visie bij de socialistische familie.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u31	[[01.28 Meryame Kitir (sp.a):]] (…)
