ParlaMint-BE_2014-10-15-54-plenair-ip009x.u1	[[De voorzitter:]] De vergadering is geopend. La séance est ouverte.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u21	En ce qui concerne l'aspect communautaire, la déchirure nationale, les questions communautaires sont clairement mises de côté. Il n'y a pas une ligne, pas un mot de ces éléments dans notre programme. Avez-vous lu notre programme? Je l'ignore! Notre programme compte plus de 200 pages avec de vraies réformes, qui ne prendront personne par surprise, des réformes nécessaires dont notre pays a besoin, des réformes socio-économiques et des réformes sociétales. Ces 200 pages sont concrètes, précises. Ce ne sont pas des paroles mais des actes à venir. Les problèmes sont identifiés. Méthodiquement, des solutions y sont apportées. Ainsi que le premier ministre l'a dit, on voit le chemin. Il y a une orientation claire, un cap fondé sur l'engagement réformateur, la responsabilité, la solidarité. Responsabilité et solidarité. Nous ferons ce qu'il faut pour garantir le redressement socio-économique de ce pays, nous ferons ce qu'il faut malgré certains. Nous le ferons pour protéger des emplois existants, créer de nouveaux emplois et garantir la protection sociale. À cette protection sociale, tous les Belges, toutes les formations politiques de cette majorité y tiennent. Si nous ne faisons rien, elle est maintenant en danger. Il est toujours possible de ne pas voir les dangers, de se plonger la tête dans le sable, voire mettre la tête des gens dans le sable, bercer l'opinion d'illusions. Pourtant, quand nos entreprises accusent un tel handicap de compétitivité, quand elles sont soumises à une telle concurrence, quand le poids du vieillissement pèse à ce point sur nos finances, se plonger la tête dans le sable, faire de la politique politicienne – un peu comme certains l'ont fait hier en ces lieux –, c'est simplement criminel pour le pays et les Belges. D'accord, je corrige: voilà qui a des accents criminels. Le groupe MR soutient donc, de toute sa force et sa détermination, le choix du gouvernement d'abaisser de près de 4 milliards d'euros le coût du travail, 4 milliards pour protéger et créer de l'emploi. Madame Onkelinx, cela vous fait rire? Tant mieux si l'opposition peut trouver ici un petit côté agréable; je vous en félicite. Une somme de 4 milliards d'euros pour ce faire, c'est du jamais vu!
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u22	[[01.15 Éric Thiébaut (PS):]] Monsieur le président, une petite réflexion. Depuis tout à l'heure, j'entends certains évoquer la nécessité d'une diminution de la charge du coût du travail. Tout le monde est d'accord sur ce point, mais comment pouvez-vous garantir que ces réductions ne serviront pas simplement à enrichir les actionnaires, mais qu'elles créeront de véritables emplois? Voilà la vraie question.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u23	[[01.16 Denis Ducarme (MR):]] Monsieur Thiébaut, nous tenons à faire profiter de ces 4 milliards de diminution sur le coût du travail l'ensemble des sociétés belges. C'est le sens de notre politique d'intérêt général. Il faut sortir un peu des caricatures!
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u24	[[01.17 Christian Brotcorne (cdH):]] (…)
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u25	[[01.18 Denis Ducarme (MR):]] Vous critiquez les actes de foi. Les actes de foi, c'est important, vous savez, à des moments comme ceux-ci. Monsieur Thiébaut, vous nous dites que tout le monde est d'accord. Tout le monde est d'accord? Je ne le pense pas, parce qu'une baisse de charges aussi importante que celle-là aurait été impossible avec vous. Ne me dites pas que tout le monde est d'accord! Ce n'est simplement pas vrai.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u26	[[01.19 André Frédéric (PS):]] Je sais bien que M. Ducarme aime bien faire de l'animation, et cela nous amuse. Tout cela est extrêmement intéressant.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u27	[[01.20 Denis Ducarme (MR):]] L'animation était plutôt de votre côté hier, monsieur Frédéric!
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u28	[[01.21 André Frédéric (PS):]] Vous nous faites part, pour l'instant, d'un certain nombre d'intentions. Vous arrivez avec un exemple concret: les réductions de charges. Mon collègue vous pose une question et vous partez dans des envolées lyriques dignes de Bouglione. On vous pose une question simple: comment allez-vous contraindre les entreprises à faire en sorte de créer de l'emploi avec les avantages fiscaux que vous allez leur donner? C'est une question simple: comment? J'attends votre réponse.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u29	[[De voorzitter:]] Ik geef het woord aan minister Peeters. (…): Ce n'est pas vous, le président du parlement!
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u30	[[01.22 Minister Kris Peeters:]] Mijnheer de voorzitter, ik wil een kleine bijdrage leveren aan het debat over loonkosten en jobcreatie. Dit is een heel moeilijk debat, want er is niet altijd een causaal verband. Daarom hechten wij zo veel belang aan het sociaal overleg. In het competitiviteitspact dat wij nu doortrekken, de driemaal 450 miljoen waartoe door de vorige regering werd beslist, een belangrijke en wijze beslissing trouwens, was er ook geen rechtstreeks verband tussen de lastenverlaging en het creëren van jobs. De vorige regering had ook de wijsheid om te beseffen dat wij niet kunnen opleggen dat er jobs worden gecreëerd, al zullen wij er met de sociale partners wel alles aan doen om dat mogelijk te maken.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u31	[[01.23 Laurette Onkelinx (PS):]] Monsieur le président, nous avons effectivement opéré des diminutions structurelles de charges, linéaires en partie. C'est toujours un compromis, mais vous savez bien que ce n'est pas mon choix. Nous avons également opéré des diminutions de charges ciblées. Le Bureau du Plan ou la Banque nationale le disent aussi: pour créer de l'emploi, vous devez cibler! J'ai expliqué tout à l'heure que la méthode que vous avez utilisée, qui consiste à diminuer facialement de 33 à 25 – même si on sait bien que ce n'est plus 33 et qu'il y a de courbes –, fait en sorte que les bas salaires, qui sont déjà en deçà de 25, ne profitent pas de la diminution des cotisations sociales.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u32	[[01.24 Minister Kris Peeters:]] Mijnheer de voorzitter, het gaat om een debat dat wij graag voortzetten, zowel in de commissie als op het ogenblik dat het thema Werk hier tijdens de bespreking aan bod zal komen. Mevrouw Onkelinx, wij hebben natuurlijk ook uitdrukkelijk rekening gehouden met de situatie van de lage lonen. Op het vlak van de werkgeversbijdragen zitten die onder 25 %. Wij zullen erop toezien dat die situatie niet verslechtert. Ook in het competitiviteitspact zullen zij met recht en reden de nodige aandacht krijgen. Mevrouw Onkelinx, overigens, in het concurrentiepact was er geen conditie verbonden aan de bedragen die de vorige regering heeft vrijgemaakt, wat ook wijs is. U kunt ons niet verwijten dat wij de beslissing van de vorige regering doortrekken, namelijk 3 x 450 en de aanpassing van een en ander in de werkgeversbijdrage, met name van 33 % naar 25 %, waarbij wij erop toezien dat de lage lonen er zeker niet op achteruitgaan. Ik hoop dat ik de gelegenheid krijg om het dossier met tabellen, indien u ze graag hebt, alsook met tekeningen en grafieken toe te lichten.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u33	[[01.25 Laurette Onkelinx (PS):]] J'ai essayé de travailler sur la base des données de fond que vous avez évoquées. On peut constater que pour un salaire brut inférieur à 2 300 euros, les salaires ne bénéficieront pas de la réduction que vous proposez. Vous "ratez" donc votre objectif de création d'emplois.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u34	[[01.26 Raoul Hedebouw (PTB-GO!):]] Monsieur Ducarme, vous avez introduit votre point en indiquant qu'il y avait un consensus important dans ce parlement pour dire que le coût du travail était un problème. Je tiens à vous informer que deux députés de cette enceinte voient le travail comme une partie de la solution et non du problème et qui n'adhèrent pas au dogme libéral suivant lequel le coût du travail est le problème de notre économie. Je voudrais vous poser une question très claire. Depuis les années 80, années durant lesquelles vous avez fait partie des différents gouvernements de droite radicale, les cotisations sociales des travailleurs se sont vues diminuées de 7 à 8 milliards d'euros. Pouvez-vous me donner une preuve que cette diminution de "cotisations sociales" que vous avez rebaptisées "charges patronales" pour une raison idéologique a créé un quelconque emploi?
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u35	[[01.27 Karin Temmerman (sp.a):]] Mijnheer de voorzitter, volgens mij is dit een zeer belangrijk debat. Deze regering zegt dat die lasten moeten verlagen en eigenlijk is iedereen het daarover eens. Nogmaals, bijna alle onderzoeken en ook ons eigen Planbureau stellen dat die verlaging best in de laagste lonen doorgevoerd wordt. Minister Peeters zegt nu dat dat er wel in zit. Mijnheer de vicepremier, in dat geval doet u niets voor de laagste lonen, want dat zat er al in. De vorige regering had dat immers al beslist. Nu zegt u dat de werkgeversbijdragen voor de anderen van 33 % naar 25 % dalen; ik vraag mij daarbij af of u met 900 miljoen euro wel zult toekomen. Daar waar de meeste jobcreatie mogelijk is, namelijk bij de laagste lonen, doet u echter niets, want u zegt dat dit al gebeurd is.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u36	[[01.28 Kristof Calvo (Ecolo-Groen):]] Mijnheer de voorzitter, de discussie die we nu voeren, sluit aan bij de debatten die wij deze ochtend al hebben geïnitieerd. Zeker als we de actualiteit volgen, is het logisch dat wij dit debat ook uitputten. Mijnheer de vicepremier, ik heb het regeerakkoord goed gelezen en daarin staat inderdaad dat de bestaande voordelen niet mogen wegvallen. Aangezien dat er zwart op wit in staat, kan dat voor niemand een verrassing zijn. Dat wordt echter ook niet als een probleem gesignaleerd. Inzake de fiscale hervorming doen zich de volgende twee problemen voor. Het eerste probleem blijft volgens mij een heel zwaar probleem. U zegt dat u sociale vrede wenst en ook een toekomstplan, dus ik hoop dat dit probleem alsnog bespreekbaar is. Voorlopig maakt u echter een keuze voor een lineaire lastenverlaging op arbeid van 33 % naar 25 %. De heer Van Biesen is daar tevreden mee en dat heeft te maken met zijn maatschappijperspectief en zijn ideologie. Mensen die jobcreatie en koopkracht bestuderen, zoals het Planbureau en de Hoge Raad van Financiën, zeggen echter dat u moet cibleren, dat u gericht moet inzetten op de laagste en de middeninkomens. Het tweede probleem inzake de loonmaatregelen is het volgende. Dit is ontstaan tijdens de onderhandelingen. Als men lang samen zit, ontstaat er een soort van Stockholmsyndroom. U bent zich gaan vergissen tussen de strijd tegen de hoge loonlasten, de radicaal hoge lasten op arbeid, goed voor jaarlijks 102 miljard euro, een strijd die moet gevoerd worden, en de strijd tegen de lonen zelf. Met dat laatste doel ik op de indexsprong als fundamenteel probleem, want daardoor verlaagt u niet de loonlasten, maar de lonen zelf. Als u oprecht een toekomstplan wilt maken en de hand wilt uitreiken, dan nodig ik u uit om die twee fundamentele problemen opnieuw bespreekbaar te maken met de sociale partners. Het kan op dat vlak veel beter en veel rechtvaardiger.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u37	[[01.29 Minister Kris Peeters:]] Mijnheer Calvo, wij zullen hierover nog uitgebreid van gedachten kunnen wisselen. Voor de collega’s merk ik op dat er verschillende elementen spelen. Ten eerste is er de indexsprong. Die is gecorrigeerd. Daar hebben wij het al uitgebreid over gehad. Ten tweede is er de doortrekking van wat de vorige regering heeft beslist: drie keer 450 miljoen euro, waarvan de eerste twee schijven samengebundeld zullen worden in 2016. Zo kunnen wij voor afgerond 960 miljoen aan lastenverlagingen doorvoeren. Ten derde is er de werkgeversbijdrage, die van 33 % naar 25 % moet dalen. Ook dat doel wordt door ons nagestreefd. Die laatste twee elementen moeten in elkaar geklikt worden. Mevrouw Onkelinx heeft een schema getoond. Er zijn ook nog andere schema’s, omdat het belangrijk is te weten hoe de hellingsgraad er zal uitzien, zeker voor de kleine en middelgrote ondernemingen, waar veel middenlonen en lage lonen zijn. Ik kan u verzekeren dat wij deze loonlastenverlaging op een zeer verstandige wijze zullen concretiseren, zodat zeker de lage lonen er niet slechter op worden ten opzichte van wat door de vorige regering werd beslist maar niet uitgevoerd werd, namelijk drie keer 450 miljoen euro.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u38	[[01.30 Karine Lalieux (PS):]] Monsieur le président, je reviens à la profession de foi de M. Ducarme. C'est lui qu'on interrogeait mais je remercie le ministre d'avoir répondu! Je voudrais reprendre les déclarations du président de l'Union Wallonne des Entreprises dans L'Echo de ce jour: "Ce n'est pas parce que quelqu'un va coûter 30 % moins cher que je vais avoir besoin de lui". C'est ce que nous vous disions. À un moment donné, il faut conditionner des diminutions de charges à des emplois supplémentaires et non pas à des professions de foi.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u39	[[01.31 Denis Ducarme (MR):]] Ce n'est pas une profession de foi. C'est un débat autour d'un accord de gouvernement. Vous ne semblez pas comprendre, ou ne pas vouloir comprendre, que la première obsession de ce gouvernement sera de créer de l'emploi. Vous savez bien que la pression fiscale sur le travail dans notre pays est une des plus importantes. Nous estimons donc que nous devons faire baisser le coût du travail pour donner à nos entreprises le bol d'air fiscal et parafiscal qui permettra de créer de l'emploi. Nous l'assumons, c'est une obsession pour ce gouvernement, sans être doctrinaire, sans être idéologique, simplement en étant pragmatique. C'est la voie que nous devons emprunter pour répondre à cette nécessité dans notre pays.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u40	[[01.32 Catherine Fonck (cdH):]] Monsieur Ducarme, je vous entends bien et j'ai également entendu le vice-premier ministre au sujet de la réduction des charges qui pèsent sur les entreprises. Depuis deux jours, on nous cite sans arrêt ce chiffre de 4 milliards. Je ne vais pas vous donner mes chiffres mais bien ceux de Christine Lhoste, la secrétaire générale de l'Union des Classes moyennes. Vous examinez la situation uniquement avec ce que vous dites, ce sont peut-être bien vos chiffres, mais quand on prend en compte les autres mesures que vous avez choisies, on constate qu'elles contrebalancent complètement le soulagement de charges pour les entreprises. Je vise singulièrement la couverture de la période de maladie des travailleurs, qui passe à deux mois. Mme Lhoste a calculé que sur l'année 2012, cela représentait un coût de 3 milliards d'euros. Aujourd'hui, avec les mesures reprises dans votre accord de gouvernement, cela coûte le double, 6 milliards. Donc, ce que vous donnez d'un côté, vous le retirez de l'autre. Et si vous y ajoutez le fait que vous allez directement toucher les classes moyennes, puisqu'il n'y aura évidemment pas de correction du saut d'index, … (…): (…)
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u41	[[01.33 Catherine Fonck (cdH):]] Monsieur le vice-premier ministre, je vois que M. Ducarme désirerait répondre. En plus, il connaît bien Mme Lhoste. Je ne doute pas qu'il ne remettra pas en question ses propos. Je disais donc que lorsque vous ne compensez pas, pour les classes moyennes, le saut d'index, cela diminue le pouvoir d'achat. Cela diminue, dès lors, la consommation. Et ce n'est évidemment pas profitable aux petites et aux moyennes entreprises. Vous tentez de faire croire que vous avez décidé des montants extrêmement importants de réductions, mais vous ne dites nullement que ce que vous donnez d'une main, vous le reprenez de l'autre, par le biais d'autres mesures qui pèseront de manière très importante sur les employeurs. Ce n'est pas de cette façon que vous allez leur permettre de croître et de créer des emplois supplémentaires. Au contraire!
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u42	[[01.34 Minister Kris Peeters:]] Mijnheer de voorzitter, ik wil toch even benadrukken dat het gaat om een maximumbedrag van 354 miljoen euro. Wij zijn ons zeer goed bewust van de gevoeligheid hiervan bij de werkgevers en vooral bij de kleine en middelgrote ondernemingen. Sommigen beweren dat wij alleen maar geluisterd hebben naar de werkgevers, maar dat is niet juist en dit is daar een voorbeeld van. Dit gezegd zijnde, ook hierover willen wij overleggen om de modaliteiten op een goede manier in te voeren. Mevrouw Fonck, het maximumbedrag is 354 miljoen, maar niet het cijfer dat u genoemd hebt.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u43	[[01.35 Denis Ducarme (MR):]] Je n'ai pas de problème à vous répondre. C'est un accord de gouvernement. Souvent, on constate dans cette Chambre que quand un ministre n'est pas là, l'opposition hurle. Par rapport à cet accord de gouvernement, vous avez les ministres sous la main mais ça ne vous convient pas non plus. Je pense que la réponse du vice-premier ministre a été précise. Je crois que vous pourriez à ce moment-là plutôt vous satisfaire que dans le cadre d'un accord de gouvernement, il y ait un vice-premier ministre pour vous donner l'ensemble des précisions relatives à l'accord. On peut continuer à jouer ce petit jeu de petite politique. On peut reprendre le chemin d'hier, mais vous avez une réponse qui est précise et je pense qu'en effet, le fait que la réponse vienne du vice-premier ministre, c'est tout à fait intéressant pour l'opposition en ce qui concerne son besoin de précision.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u44	[[01.36 Catherine Fonck (cdH):]] Par rapport à vos propos ici, monsieur Ducarme, force est de constater que depuis ce matin, chaque fois que nous avons des réponses, c'est de la part du président du CD&V, de la part du vice-premier ministre CD&V, mais jamais du MR.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u45	[[01.37 Denis Ducarme (MR):]] Vous aurez naturellement les réponses qui vous viendront du MR et du premier ministre. Vous les aurez. Mais il y a une chose que je ne comprends pas: vous flattez le CD&V. Il fallait le rejoindre alors, il fallait monter avec lui. Si je peux poursuivre… Vous êtes gentille, madame Lalieux, je vous entends jusqu'ici. Vous êtes plus sympathique qu'hier finalement. Et donc rien que pour ça, vous me permettrez de vous remercier. C'est donc quatre milliards de diminution du coût du travail. Il faut assumer cette politique. Il y aura un saut d'index. Il y en aura un, socialement corrigé, avec une enveloppe bien-être qui s'envolera au-delà de 100 %. Le gouvernement Di Rupo avait exécuté 60 %. Cette majorité va faire un demi-milliard en plus sur la durée de la législature. Un demi-milliard plus social. Plus social que vous. Vous pouvez applaudir le MR. Allez-y! Nous aurons un demi-milliard plus social que vous par rapport à cet élément. (…): (…)
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u46	[[01.38 Denis Ducarme (MR):]] Ça vous fait mal, hein! Ça vous fait mal qu'une majorité de centre-droit soit plus sociale que vous. Je comprends que vous n'étiez allé que jusque 60 %. (…): (…)
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u47	[[Le président:]] Continuez M. Ducarme.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u48	[[01.39 Denis Ducarme (MR):]] (…)
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u49	[[01.40 Benoît Lutgen (cdH):]] Ce qui est certain c'est qu'on n'aura jamais aussi collabo que vous. Ça, c'est sûr et certain.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u50	[[01.41 Richard Miller (MR):]] Vous avez déserté le choix de l'électeur. Vous avez déserté le fédéral. Vous avez déserté (…).
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u51	[[De voorzitter:]] Collega's, ik stel voor dat we de heer Ducarme verder aanhoren. M. Ducarme, vous avez la parole.
