A1	General And Abstract Terms
X2.2+	Knowledgeable
X2.2-	No knowledge
X2.3	Learn
X2.3+	Learning
X2.4	Investigate, examine, test, search
X2.4+	Double-check
X2.4-	Not examined
X2.5	Understand
X2.5+	Understanding
X2.5-	Not understanding
X2.6	Expect
X2.6+	Expected
X2.6-	Unexpected
X3	Sensory
X3.1	Sensory: Taste
X3.1+	Tasty
X3.1-	Not tasty
X3.2	Sensory: Sound
X3.2+	Sound: Loud
X3.2-	Sound: Quiet
X3.3	Sensory: Touch
X3.4	Sensory: Sight
X3.4+	Seen
X3.4-	Unseen
X3.5	Sensory: Smell
X3.5-	No smell
X4	Mental object
X4.1	Mental object: Conceptual object
X4.1-	Themeless
X4.2	Mental object: Means, method
X5	Attention
X5.1	Attention
X5.1+	Attentive
X5.1-	Inattentive
X5.2	Interest/boredom/excited/energetic
X5.2+	Interested/excited/energetic
X5.2-	Uninterested/bored/unenergetic
X6	Deciding
X6+	Decided
X6-	Undecided
X7	Wanting; planning; choosing
X7+	Wanted
X7-	Unwanted
X8	Trying
X8+	Trying hard
X8-	Not trying
X9	Ability
X9.1	Ability and intelligence
X9.1+	Able/intelligent
X9.1-	Inability/unintelligence
X9.2	Success and failure
X9.2+	Success 
X9.2-	Failure
Y1	Science and technology in general
Y1-	Anti-scientific
Y2	Information technology and computing
Y2-	Low-tech
Z0	Unmatched proper noun
Z1	Personal names
Z2	Geographical names
Z3	Other proper names
Z4	Discourse Bin
Z5	Grammatical bin
Z6	Negative
Z7	If
Z7-	Unconditional
Z8	Pronouns
Z9	Trash can
Z99	Unmatched
