Country	orgType	orgID	AbbrName	FullName	From	To	Orientation-LR	Wikipedia	CHES-ID
BA	parliamentaryGroup	party.SNS	SNS	Srpski narodni savez	-	-	Centre-right	https://en.wikipedia.org/wiki/Serb_National_Alliance	-
BA	parliamentaryGroup	party.SPRS	SPRS	Socijalistička partija	-	-	Centre-left	https://bs.wikipedia.org/wiki/Socijalistička_partija_Republike_Srpske	-
BA	parliamentaryGroup	party.BOSS	BOSS	Bosanska stranka	-	-	Left	https://en.wikipedia.org/wiki/Bosnian_Party	-
BA	parliamentaryGroup	party.EB	EB	Ekonomski blok	-	-	-	https://en.wikipedia.org/wiki/Economic_Bloc	-
BA	parliamentaryGroup	party.SDUBIH	SDUBiH	Socijaldemokratska unija Bosne i Hercegovine	-	-	Centre-left	https://en.wikipedia.org/wiki/Social_Democratic_Union_of_Bosnia_and_Herzegovina	-
BA	parliamentaryGroup	party.SNSD	SNSD	Savez nezavisnih socijaldemokrata	-	-	Syncretic politics	https://en.wikipedia.org/wiki/Alliance_of_Independent_Social_Democrats	-
BA	parliamentaryGroup	party.SPUBIH	SPUBiH	Stranka penzionera-umirovljenika BiH	-	-	-	https://en.wikipedia.org/wiki/Pensioners'_Party_of_Bosnia_and_Herzegovina	-
BA	parliamentaryGroup	party.DNS	DNS	Demokratski narodni savez	-	-	Centre-right	https://en.wikipedia.org/wiki/Democratic_People's_Alliance	-
BA	parliamentaryGroup	party.HDZ-HK-HNZ	HDZ-HK-HNZ	Koalicija HDZ-HK-HNZ	-	-	Centre-right	https://hr.wikipedia.org/wiki/Hrvatska_demokratska_zajednica_Bosne_i_Hercegovine	-
BA	parliamentaryGroup	party.NS_RB	NS_RB	Narodna stranka Radom za boljitak	-	-	Centre	https://hr.wikipedia.org/wiki/Narodna_stranka_Radom_za_Boljitak	-
BA	parliamentaryGroup	party.SBB	SBB	Savez za bolju budućnost	-	-	Centre-right	https://en.wikipedia.org/wiki/Union_for_a_Better_Future_of_BiH	-
BA	parliamentaryGroup	party.A-SDA	A-SDA	Stranka demokratske aktivnosti	-	-	Centre-right	https://en.wikipedia.org/wiki/Party_of_Democratic_Activity	-
BA	parliamentaryGroup	party.DF	DF	Demokratska fronta	-	-	Centre to centre-left	https://en.wikipedia.org/wiki/Democratic_Front_(Bosnia_and_Herzegovina)	-
BA	parliamentaryGroup	party.HDZ_1990	HDZ_1990	Hrvatska demokratska zajednica 1991	-	-	Centre-right	https://en.wikipedia.org/wiki/Croatian_Democratic_Union_1990	-
BA	parliamentaryGroup	party.KOALICIJA	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	-	Right	https://en.wikipedia.org/wiki/Croatian_Democratic_Union_of_Bosnia_and_Herzegovina https://hr.wikipedia.org/wiki/Hrvatska_seljačka_stranka_Bosne_i_Hercegovine https://bs.wikipedia.org/wiki/Hrvatska_kršćanska_demokratska_unija_Bosne_i_Hercegovine https://en.wikipedia.org/wiki/Croatian_Party_of_Rights_—_Dr._Ante_Starčević https://hr.wikipedia.org/wiki/Hrvatska_stranka_prava_Herceg-Bosne	-
BA	parliamentaryGroup	party.PDP-NDP	PDP-NDP	Koalicija Partija demokratskog progresa - Narodni demokratski pokret	-	-	Centre-right	https://en.wikipedia.org/wiki/Party_of_Democratic_Progress https://en.wikipedia.org/wiki/National_Democratic_Movement_(Bosnia_and_Herzegovina)	-
BA	parliamentaryGroup	party.NS	NS	Naša stranka	-	-	Centre to centre-left	https://en.wikipedia.org/wiki/Our_Party_(Bosnia_and_Herzegovina)	-
BA	parliamentaryGroup	party.NB	NB	Nezavisni blok	-	-	Big tent	https://bs.wikipedia.org/wiki/Nezavisni_blok	-
BA	parliamentaryGroup	party.PDA	PDA	Pokret demokratske akcije	-	-	Centre-right	https://en.wikipedia.org/wiki/Movement_of_Democratic_Action	-
BA	parliamentaryGroup	party.SP	SP	Socijalistička Partija	-	-	Centre-left	https://en.wikipedia.org/wiki/Socialist_Party_(Bosnia_and_Herzegovina)	-
BA	parliamentaryGroup	party.HSS	HSS	Hrvatska seljačka stranka	-	-	Centre	https://hr.wikipedia.org/wiki/Hrvatska_seljačka_stranka_Bosne_i_Hercegovine	-
BA	parliamentaryGroup	party.GDS	GDS	Građanska demokratska stranka	-	-	-	-	-
BA	parliamentaryGroup	party.BSP	BSP	Bosanskohercegovačka stranka prava 1861	-	-	-	https://en.wikipedia.org/wiki/Party_of_Rights_of_Bosnia_and_Herzegovina_1861	-
BE	government	government.BE	BE	Federal Government of Belgium	-	-	-	-	-
BE	parliament	be_federal_parliament	be_federal_parliament	Belgian Federal Parliament	1831-02-07	-	-	https://en.wikipedia.org/wiki/Belgian_Federal_Parliament	-
BE	parliamentaryGroup	CVP	CVP	Christelijke Volkspartij	-	-	Centre	https://en.wikipedia.org/wiki/Christian_Social_Party_(Belgium,_1945)	CVP
BE	parliamentaryGroup	CSP	CSP	Christlich Soziale Partei	-	-	Centre to centre-right	https://en.wikipedia.org/wiki/Christlich_Soziale_Partei_(Belgium)	-
BE	parliamentaryGroup	CPB	CPB	Communistische Partij van België	-	-	Far-left	https://en.wikipedia.org/wiki/Communist_Party_of_Belgium_(1989)	-
BE	parliamentaryGroup	D95	D95	Democraten95	-	-	-	-	-
BE	parliamentaryGroup	DN	DN	Démocratie Nationale	-	-	Far-right	https://en.wikipedia.org/wiki/National_Front_(Belgium)	FN
BE	parliamentaryGroup	D-SA	D-SA	Democratisch-Solidair Appèl	-	-	-	-	-
BE	parliamentaryGroup	EFP	EFP	Europese Federalistische Partij	-	-	-	https://en.wikipedia.org/wiki/European_Federalist_Party	-
BE	parliamentaryGroup	HOERA	HOERA	HOERA	-	-	Left	https://en.wikipedia.org/wiki/ROSSEM	-
BE	parliamentaryGroup	LSP-PSL	LSP-PSL	Linkse Socialistische Partij	-	-	Far-left	https://en.wikipedia.org/wiki/Left_Socialist_Party_(Belgium)	-
BE	parliamentaryGroup	PFF	PFF	Partei für Freiheit und Fortschritt	-	-	-	https://en.wikipedia.org/wiki/Partei_für_Freiheit_und_Fortschritt	-
BE	parliamentaryGroup	PC	PC	Parti communiste Wallonie-Bruxelles	-	-	Far-left	https://fr.wikipedia.org/wiki/Parti_communiste_(Wallonie-Bruxelles)	-
BE	parliamentaryGroup	PRL	PRL	Parti réformateur libéral	-	-	Centre-right	https://en.wikipedia.org/wiki/Liberal_Reformist_Party_(Belgium)	PRL PRL/MR
BE	parliamentaryGroup	PVV	PVV	Partij voor Vrijheid en Vooruitgang	-	-	Centre-right	https://en.wikipedia.org/wiki/Party_for_Freedom_and_Progress	-
BE	parliamentaryGroup	PPBE	PPBE	Piratenpartij in België	-	-	Pirate Party	https://en.wikipedia.org/wiki/Pirate_Party_(Belgium)	-
BE	parliamentaryGroup	ProDG	ProDG	Pro Deutschsprachige Gemeinschaft	-	-	Centre to centre-right	https://en.wikipedia.org/wiki/ProDG_(Belgium)	-
BE	parliamentaryGroup	ROSSEM	ROSSEM	Radicale Omvormers en Sociale Strijders voor een Eerlijker Maatschappij	-	-	Left	https://en.wikipedia.org/wiki/ROSSEM	-
BE	parliamentaryGroup	R.W.F.	R.W.F.	Rassemblement Wallonie-France	-	-	-	https://en.wikipedia.org/wiki/Rassemblement_Wallonie_France	-
BE	parliamentaryGroup	SoLiDe	SoLiDe	Sociaal Onafhankelijk Liberaal Integer Democratisch Evenwichtig	-	-	Left	https://nl.wikipedia.org/wiki/SoLiDe_(België)	-
BE	parliamentaryGroup	SLP	SLP	Sociaal-Liberale Partij	-	-	Centre to centre-left	https://en.wikipedia.org/wiki/Sociaal-Liberale_Partij	-
BE	parliamentaryGroup	SP	SP	Socialistische Partij	-	-	Centre-left to left	https://en.wikipedia.org/wiki/Socialist_Party_(Belgium)	SP
BE	parliamentaryGroup	SAP-GA	SAP-GA	Stroming voor een Antikapitalistisch Project	-	-	Left	https://en.wikipedia.org/wiki/Anticapitalist_Left_(Belgium)	-
BE	parliamentaryGroup	VSL	VSL	Vlaamse Sociaal-Liberalen	-	-	-	-	-
BE	parliamentaryGroup	Volt	Volt	Volt Europa	-	-	Left	https://en.wikipedia.org/wiki/Volt_Belgium	-
BE	parliamentaryGroup	Be.One	Be.One	Be.One	-	-	-	-	-
BE	parliamentaryGroup	DeMilitant	De Militant	De Militant	-	-	-	-	-
BE	parliamentaryGroup	DierAnimal	DierAnimal	DierAnimal	-	-	Centre-left	https://en.wikipedia.org/wiki/DierAnimal	-
BE	parliamentaryGroup	ISLAM	ISLAM	ISLAM	-	-	Far-right	https://en.wikipedia.org/wiki/ISLAM_(Belgian_political_party)	-
BE	parliamentaryGroup	MilitantLinks	Militant Links	Militant Links	-	-	-	-	-
BE	parliamentaryGroup	ProBruxsel	Pro Bruxsel	Pro Bruxsel	-	-	-	https://en.wikipedia.org/wiki/Pro_Bruxsel	-
BE	parliamentaryGroup	Vivant	Vivant	Vivant	-	-	Centre-left	https://en.wikipedia.org/wiki/Vivant	-
BE	parliamentaryGroup	Volksunie	Volksunie	Volksunie	-	-	Centre to centre-right	https://en.wikipedia.org/wiki/People%27s_Union_(Belgium)	VU VU/NVA
BE	parliamentaryGroup	SP_duitstalig	SP_duitstalig	Sozialistische Partei	-	-	Centre-left to left	https://fr.wikipedia.org/wiki/SP_Regionalverband_Ostbelgien	-
BE	parliamentaryGroup	MR	MR	Mouvement Réformateur	-	-	Centre-right	https://en.wikipedia.org/wiki/Reformist_Movement	MR
BE	parliamentaryGroup	PS	PS	Parti Socialiste	-	-	Centre-left to left	https://en.wikipedia.org/wiki/Socialist_Party_(Belgium)	PS
BE	parliamentaryGroup	PTB	PTB	Parti du Travail de Belgique	-	-	Left to far-left	https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium	PVDA PVDA-PTB
BE	parliamentaryGroup	PVDA-PTB	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	-	-	Left to far-left	https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium	PVDA PVDA-PTB
BE	parliamentaryGroup	PSC	PSC	Parti social chrétien	-	-	Centre	https://en.wikipedia.org/wiki/Christian_Social_Party_(Belgium,_1945)	PSC PSC/CDH
BE	parliamentaryGroup	BANAAN	BANAAN	Beter Alternatieven Nastreven Als Apathisch Nietsdoen	-	-	Left	https://en.wikipedia.org/wiki/ROSSEM	-
BE	parliamentaryGroup	spirit	spirit	Spirit	-	-	Left	https://en.wikipedia.org/wiki/SP.A–Spirit	Spirit
BE	parliamentaryGroup	Vl.Pro	Vl.Pro	VlaamsProgressieven	-	-	Centre to centre-left	https://en.wikipedia.org/wiki/Sociaal-Liberale_Partij	-
BE	parliamentaryGroup	FN	FN	Front National	-	-	Far-right	https://en.wikipedia.org/wiki/National_Front_(Belgium)	FN
BE	parliamentaryGroup	WOW	WOW	Waardig Ouder Worden	-	-	Left	https://en.wikipedia.org/wiki/ROSSEM	-
BE	parliamentaryGroup	Spirit	Spirit	Sociaal Progressief Internationaal Regionalistisch Integraal-democratisch en Toekomstgericht	-	-	Left	https://en.wikipedia.org/wiki/SP.A–Spirit	Spirit
BE	parliamentaryGroup	VlaamsBlok	Vlaams Blok	Vlaams Blok	-	-	Far-right	https://en.wikipedia.org/wiki/Vlaams_Blok	-
BE	parliamentaryGroup	onafhankelijk	onafhankelijk	Onafhankelijk	-	-	Right	https://en.wikipedia.org/wiki/VLOTT	-
BE	parliamentaryGroup	B.U.B.	B.U.B.	Belgische Unie - Union Belge	-	-	Centre	https://en.wikipedia.org/wiki/Belgische_Unie_–_Union_Belge	-
BE	parliamentaryGroup	Vooruit	Vooruit	Vooruit	-	-	Centre-left	https://en.wikipedia.org/wiki/Vooruit_(political_party)	-
BE	parliamentaryGroup	CD_en_V	CD&V	Christen-Democratisch en Vlaams	-	-	Centre to centre-right	https://en.wikipedia.org/wiki/Christian_Democratic_and_Flemish	CD&V CDV
BE	parliamentaryGroup	N-VA	N-VA	Nieuw-Vlaamse Alliantie	-	-	Centre-right to right	https://en.wikipedia.org/wiki/New_Flemish_Alliance https://en.wikipedia.org/wiki/New_Flemish_Alliance	ID21 NVA
BE	parliamentaryGroup	OpenVld	Open Vld	Open Vlaamse Liberalen en Democraten	-	-	Centre-right	https://en.wikipedia.org/wiki/Open_Flemish_Liberals_and_Democrats	-
BE	parliamentaryGroup	PP	PP	Parti Populaire	-	-	Right to far-right	https://en.wikipedia.org/wiki/People%27s_Party_(Belgium)	PP
BE	parliamentaryGroup	VLD	VLD	Vlaamse Liberalen en Democraten	-	-	Centre-right	https://en.wikipedia.org/wiki/Open_Flemish_Liberals_and_Democrats	PVV/VLD VLD VLD/PVV
BE	parliamentaryGroup	Vuye_Wouters	Vuye_Wouters	Vuye & Wouters: V-Kamerleden	-	-	-	-	-
BE	parliamentaryGroup	PVDA	PVDA	Partij van de Arbeid van België	-	-	Left to far-left	https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium	-
BE	parliamentaryGroup	VB	VB	Vlaams Belang	-	-	Right to far-right	https://en.wikipedia.org/wiki/Vlaams_Belang	VB
BE	parliamentaryGroup	LesEngagés	Les Engagés	Les Engagés	-	-	Centre	https://en.wikipedia.org/wiki/Les_Engagés_(political_party)	-
BE	parliamentaryGroup	DéFi	DéFi	Démocrate Fédéraliste Indépendant	-	-	Centre to centre-right	https://en.wikipedia.org/wiki/DéFI	FDF
BE	parliamentaryGroup	Ecolo	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	-	-	Centre-left to left	https://en.wikipedia.org/wiki/Ecolo	ECOLO
BE	parliamentaryGroup	cdH	cdH	Centre démocrate humaniste	-	-	Centre to centre-right	https://en.wikipedia.org/wiki/Humanist_Democratic_Centre	CDH
BE	parliamentaryGroup	Agora	Agora	Agora	-	-	Single Issue Politics	https://en.wikipedia.org/wiki/Agora_(Belgium)	-
BE	parliamentaryGroup	LDD	LDD	Libertair, Direct, Democratisch	-	-	Right	https://en.wikipedia.org/wiki/Libertair,_Direct,_Democratisch	LDD
BE	parliamentaryGroup	Agalev	Agalev	Anders Gaan Leven	-	-	Centre-left to left	https://en.wikipedia.org/wiki/Groen_(political_party)	AGALEV
BE	parliamentaryGroup	FDF	FDF	Fédéralistes Démocrates Francophones	-	-	Centre to centre-right	https://en.wikipedia.org/wiki/DéFI	FDF
BE	parliamentaryGroup	sp.a	sp.a	Socialistische Partij Anders	-	-	Centre-left	https://en.wikipedia.org/wiki/Vooruit_(political_party)	SPA SP/SPA
BE	parliamentaryGroup	Groen_exclamation	Groen!	Groen!	-	-	Centre-left to left	https://en.wikipedia.org/wiki/Groen_(political_party)	Groen
BE	parliamentaryGroup	Groen	Groen	Groen	-	-	Centre-left to left	https://en.wikipedia.org/wiki/Groen_(political_party)	Groen
BG	parliament	BGNS	BGNS	National Assembly of the Republic of Bulgaria	1879-02-10	-	-	https://en.wikipedia.org/wiki/National_Assembly_(Bulgaria)	-
BG	government	gov.BGGov	BGGov	Government of the Republic of Bulgaria	1990-12-20	-	-	-	-
BG	republic	republic.Bulgaria	Bulgaria	Republic of Bulgaria	1990-11-15	-	-	https://en.wikipedia.org/wiki/Bulgaria	-
BG	institution	PRB	PRB	Prosecutor's Office of Republic of Bulgaria	1880	-	-	-	-
BG	institution	BAS	BAS	Bulgarian Academy of Sciences	1869	-	-	https://en.wikipedia.org/wiki/Bulgarian_Academy_of_Sciences	-
BG	europeanCommission	europeanCommision.EC	EC	European Commission	1967-06-01	-	-	https://en.wikipedia.org/wiki/European_Commission	-
BG	europeanParliament	europeanParliament.EP	EP	European Parliament	1952-09-10	-	-	https://en.wikipedia.org/wiki/European_Parliament	-
BG	parliamentaryGroup	parliamentaryGroup.BSPLB	BSPLB	Parliamentary Group: BSP Left Bulgaria	2014-10-27	2017-01-26	Centre-left	https://en.wikipedia.org/wiki/BSP_for_Bulgaria	-
BG	parliamentaryGroup	parliamentaryGroup.BSPFB	BSPFB	Parliamentary Group: BSP for Bulgaria	2017-04-19	-	Centre-left	https://en.wikipedia.org/wiki/BSP_for_Bulgaria	-
BG	parliamentaryGroup	parliamentaryGroup.WCC	WCC	Parliamentary Group: We Continue the Change	2021-12-03	-	Centre	https://en.wikipedia.org/wiki/We_Continue_the_Change	-
BG	parliamentaryGroup	parliamentaryGroup.MRF	MRF	Parliamentary Group: Movement for Rights and Freedoms	1990-07-10	-	Centre	https://en.wikipedia.org/wiki/Movement_for_Rights_and_Freedomse	-
BG	parliamentaryGroup	parliamentaryGroup.RUTO	RUTO	Parliamentary Group: Rise up! Thugs out!	2021-04-15	2022-05-11	Centre-left	https://en.wikipedia.org/wiki/Stand_Up.BG!_We_are_coming!	-
BG	parliamentaryGroup	parliamentaryGroup.RUBGWC	RUBGWC	Parliamentary Group: Rise up BG! We are coming!	2021-07-21	2021-09-15	-	https://en.wikipedia.org/wiki/Stand_Up.BG!_We_are_coming!	-
BG	parliamentaryGroup	parliamentaryGroup.BDC-NU	BDC-NU	Parliamentary Group: Bulgarian Democratic Centre - National Union	2014-10-27	2017-01-26	-	https://en.wikipedia.org/wiki/Reload_Bulgaria	-
BG	parliamentaryGroup	parliamentaryGroup.DB	DB	Parliamentary Group: Democratic Bulgaria	2021-04-15	-	Centre to centre-right	https://en.wikipedia.org/wiki/Democratic_Bulgaria	DB
BG	parliamentaryGroup	parliamentaryGroup.TISP	TISP	Parliamentary Group: There Is Such People	2021-04-15	2022-08-01	Big tent	https://en.wikipedia.org/wiki/There_is_Such_a_People	-
BG	parliamentaryGroup	parliamentaryGroup.AP	AP	Parliamentary Group: Ataka Party	2009-07-14	2017-01-26	Far-right	https://en.wikipedia.org/wiki/Attack_(politicalParty)	-
BG	parliamentaryGroup	parliamentaryGroup.GERB	GERB	Parliamentary Group: GERB Party	2005-07-14	2021-03-26	Centre-right	https://en.wikipedia.org/wiki/GERB	-
BG	parliamentaryGroup	parliamentaryGroup.GERB-UDF	GERB-UDF	Parliamentary Group: GERB-UDF	2021-04-15	-	Centre-right	https://en.wikipedia.org/wiki/Union_of_Democratic_Forces_(Bulgaria)	-
BG	parliamentaryGroup	parliamentaryGroup.UP	UP	Parliamentary Group: United Patriots	2017-04-15	2021-03-26	Right to far-right	https://en.wikipedia.org/wiki/United_Patriots	-
