ERROR: Person AliSahinMehmet not found in TEI corpus, skipping!
ERROR: Person AkarHulusi not found in TEI corpus, skipping!
ERROR: Person AkdagRecep not found in TEI corpus, skipping!
ERROR: Person MuezzinogluMehmet not found in TEI corpus, skipping!
ERROR: Person AkdagRecep not found in TEI corpus, skipping!
ERROR: Person DemircanAhmet not found in TEI corpus, skipping!
ERROR: Person KocaFahrettin not found in TEI corpus, skipping!
ERROR: Person CaglayanZafer not found in TEI corpus, skipping!
ERROR: Person ErgunNihat not found in TEI corpus, skipping!
ERROR: Person IsikFikri not found in TEI corpus, skipping!
ERROR: Person OzluFaruk not found in TEI corpus, skipping!
ERROR: Person VarankMustafa not found in TEI corpus, skipping!
ERROR: Person ErogluVeysel not found in TEI corpus, skipping!
ERROR: Person PakdemirliBekir not found in TEI corpus, skipping!
ERROR: Person KirisciVahit not found in TEI corpus, skipping!
ERROR: Person YaziciHayati not found in TEI corpus, skipping!
ERROR: Person CanikliNurettin not found in TEI corpus, skipping!
ERROR: Person AsciCenap not found in TEI corpus, skipping!
ERROR: Person TufenkciBulent not found in TEI corpus, skipping!
ERROR: Person PekcanRuhsar not found in TEI corpus, skipping!
ERROR: Person MusMehmet not found in TEI corpus, skipping!
ERROR: Person YildrimBinali not found in TEI corpus, skipping!
ERROR: Person ElvanLufti not found in TEI corpus, skipping!
ERROR: Person BilginFeridun not found in TEI corpus, skipping!
ERROR: Person YildrimBinali not found in TEI corpus, skipping!
ERROR: Person ArslanAhmet not found in TEI corpus, skipping!
ERROR: Person CahinTurhanMehmet not found in TEI corpus, skipping!
ERROR: Person KaraismailogluAdil not found in TEI corpus, skipping!
